validation_day,gate_min,lambda,W,n_blended
2025-09-02,360,0.05,0.9614936076454785,9
2025-09-02,360,0.1,0.962668381690978,9
2025-09-02,360,0.15,0.9637559866677543,9
2025-09-02,360,0.2,0.9646902128874973,9
2025-09-02,360,0.3,0.9659492601938006,9
2025-09-02,360,0.4,0.9693174354533953,9
2025-09-02,480,0.05,0.9614936076454785,9
2025-09-02,480,0.1,0.962668381690978,9
2025-09-02,480,0.15,0.9637559866677543,9
2025-09-02,480,0.2,0.9646902128874973,9
2025-09-02,480,0.3,0.9659492601938006,9
2025-09-02,480,0.4,0.9693174354533953,9
2025-09-02,600,0.05,0.9624185396262814,8
2025-09-02,600,0.1,0.9644480597610237,8
2025-09-02,600,0.15,0.9662589476418655,8
2025-09-02,600,0.2,0.9676908842756362,8
2025-09-02,600,0.3,0.9708021559586524,8
2025-09-02,600,0.4,0.971853649015969,8
2025-09-02,720,0.05,0.9625710771067209,7
2025-09-02,720,0.1,0.9641840559276565,7
2025-09-02,720,0.15,0.9661573397548713,7
2025-09-02,720,0.2,0.9674293700852745,7
2025-09-02,720,0.3,0.9695275001536201,7
2025-09-02,720,0.4,0.9693892966861406,7
2025-09-02,840,0.05,0.9617093864645976,6
2025-09-02,840,0.1,0.9617840404886573,6
2025-09-02,840,0.15,0.9623937559240157,6
2025-09-02,840,0.2,0.9639929141754373,6
2025-09-02,840,0.3,0.9608877251269735,6
2025-09-02,840,0.4,0.9533146018053178,6
2025-09-02,960,0.05,0.9608100245998203,5
2025-09-02,960,0.1,0.9590794688557268,5
2025-09-02,960,0.15,0.9568900238981827,5
2025-09-02,960,0.2,0.9539558729999061,5
2025-09-02,960,0.3,0.93958497982041,5
2025-09-02,960,0.4,0.9203539855842522,5
2025-09-02,1200,0.05,0.9561908329946776,3
2025-09-02,1200,0.1,0.9479068033899816,3
2025-09-02,1200,0.15,0.9392668009041854,3
2025-09-02,1200,0.2,0.9266069061950961,3
2025-09-02,1200,0.3,0.9158587431293239,3
2025-09-02,1200,0.4,0.9240279378459748,3
2025-09-03,360,0.05,0.9598474855765111,9
2025-09-03,360,0.1,0.9585221182627656,9
2025-09-03,360,0.15,0.9526992125021434,9
2025-09-03,360,0.2,0.9434100008986737,9
2025-09-03,360,0.3,0.9130359600005217,9
2025-09-03,360,0.4,0.8905385176616314,9
2025-09-03,480,0.05,0.9604003519022768,8
2025-09-03,480,0.1,0.9600207519786804,8
2025-09-03,480,0.15,0.9555066268801048,8
2025-09-03,480,0.2,0.9478081907082665,8
2025-09-03,480,0.3,0.9206926787069866,8
2025-09-03,480,0.4,0.9017266039903096,8
