dataset,validation_day,variable,sample_index,residual
GEO,2025-09-02,x_error (m),0,-2.010170136
GEO,2025-09-02,x_error (m),1,0.24648809400000016
GEO,2025-09-02,x_error (m),2,2.421308074
GEO,2025-09-02,x_error (m),3,4.5833556170000005
GEO,2025-09-02,x_error (m),4,1.3726709890000002
GEO,2025-09-02,x_error (m),5,0.7890448310000001
GEO,2025-09-02,x_error (m),6,1.059688307
GEO,2025-09-02,x_error (m),7,5.916860882
GEO,2025-09-02,x_error (m),8,0.40836298800000015
GEO,2025-09-02,x_error (m),9,2.267707236
GEO,2025-09-02,x_error (m),10,0.6481033410000001
GEO,2025-09-02,x_error (m),11,1.9010549070000002
GEO,2025-09-02,y_error (m),0,-1.524603602
GEO,2025-09-02,y_error (m),1,0.5816467590000001
GEO,2025-09-02,y_error (m),2,2.217333827
GEO,2025-09-02,y_error (m),3,4.416344385
GEO,2025-09-02,y_error (m),4,1.120173562
GEO,2025-09-02,y_error (m),5,0.7169089610000001
GEO,2025-09-02,y_error (m),6,0.819780126
GEO,2025-09-02,y_error (m),7,6.164727538999999
GEO,2025-09-02,y_error (m),8,0.21487625700000001
GEO,2025-09-02,y_error (m),9,2.040630802
GEO,2025-09-02,y_error (m),10,0.467582807
GEO,2025-09-02,y_error (m),11,1.793307476
GEO,2025-09-02,z_error (m),0,2.559205998
GEO,2025-09-02,z_error (m),1,1.978993507
GEO,2025-09-02,z_error (m),2,-0.6714546410000001
GEO,2025-09-02,z_error (m),3,-0.882871961
GEO,2025-09-02,z_error (m),4,0.03251384800000001
GEO,2025-09-02,z_error (m),5,0.091510774
GEO,2025-09-02,z_error (m),6,0.254125229
GEO,2025-09-02,z_error (m),7,9.763540939
GEO,2025-09-02,z_error (m),8,-1.2571177409999998
GEO,2025-09-02,z_error (m),9,-3.888867493
GEO,2025-09-02,z_error (m),10,-1.4679015579999999
GEO,2025-09-02,z_error (m),11,2.249577301
GEO,2025-09-02,satclockerror (m),0,1.751736049
GEO,2025-09-02,satclockerror (m),1,0.31746105700000005
GEO,2025-09-02,satclockerror (m),2,2.026463369
GEO,2025-09-02,satclockerror (m),3,2.724472038
GEO,2025-09-02,satclockerror (m),4,-3.2488818059999995
GEO,2025-09-02,satclockerror (m),5,-0.09260762899999997
GEO,2025-09-02,satclockerror (m),6,1.23137084
GEO,2025-09-02,satclockerror (m),7,1.717738805
GEO,2025-09-02,satclockerror (m),8,4.129226017
GEO,2025-09-02,satclockerror (m),9,4.052926708
GEO,2025-09-02,satclockerror (m),10,1.4975774290000001
GEO,2025-09-02,satclockerror (m),11,-0.7405266439999999
GEO,2025-09-03,x_error (m),0,0.48336082699999994
GEO,2025-09-03,x_error (m),1,0.798993905
GEO,2025-09-03,x_error (m),2,-0.11637819500000002
GEO,2025-09-03,x_error (m),3,1.481516488
GEO,2025-09-03,x_error (m),4,1.0005877920000001
GEO,2025-09-03,x_error (m),5,-0.970685877
GEO,2025-09-03,x_error (m),6,-1.901499763
GEO,2025-09-03,x_error (m),7,-0.713181853
GEO,2025-09-03,x_error (m),8,-1.014595382
GEO,2025-09-03,x_error (m),9,-0.662366394
GEO,2025-09-03,x_error (m),10,-2.929115343
GEO,2025-09-03,x_error (m),11,-2.584376927
GEO,2025-09-03,x_error (m),12,-0.612346109
GEO,2025-09-03,x_error (m),13,-3.215583331
GEO,2025-09-03,x_error (m),14,-1.9411774720000001
GEO,2025-09-03,x_error (m),15,-1.7914051
GEO,2025-09-03,x_error (m),16,-0.834945395
GEO,2025-09-03,x_error (m),17,5.91296253
GEO,2025-09-03,x_error (m),18,-2.893797557
GEO,2025-09-03,x_error (m),19,-0.20394843800000007
GEO,2025-09-03,x_error (m),20,-0.5433538250000001
GEO,2025-09-03,x_error (m),21,-1.9575621820000002
GEO,2025-09-03,x_error (m),22,0.172045157
GEO,2025-09-03,x_error (m),23,-1.9756736570000002
GEO,2025-09-03,x_error (m),24,-0.343334011
GEO,2025-09-03,x_error (m),25,-6.422602787000001
GEO,2025-09-03,x_error (m),26,-0.820152491
GEO,2025-09-03,x_error (m),27,-0.44531613200000003
GEO,2025-09-03,x_error (m),28,-2.347036045
GEO,2025-09-03,x_error (m),29,-3.779194012
GEO,2025-09-03,x_error (m),30,-2.045996148
GEO,2025-09-03,x_error (m),31,1.172293857
GEO,2025-09-03,x_error (m),32,1.032535475
GEO,2025-09-03,y_error (m),0,0.80764392
GEO,2025-09-03,y_error (m),1,0.86342873
GEO,2025-09-03,y_error (m),2,0.5994126270000001
GEO,2025-09-03,y_error (m),3,1.628043264
GEO,2025-09-03,y_error (m),4,0.897407744
GEO,2025-09-03,y_error (m),5,-2.262502701
GEO,2025-09-03,y_error (m),6,-1.6414160770000001
GEO,2025-09-03,y_error (m),7,-0.929177449
GEO,2025-09-03,y_error (m),8,-1.179457661
GEO,2025-09-03,y_error (m),9,-0.803956617
GEO,2025-09-03,y_error (m),10,-2.296674692
GEO,2025-09-03,y_error (m),11,-2.620233503
GEO,2025-09-03,y_error (m),12,-0.420780085
GEO,2025-09-03,y_error (m),13,-2.53473508
GEO,2025-09-03,y_error (m),14,-1.6104894060000001
GEO,2025-09-03,y_error (m),15,-1.704842158
GEO,2025-09-03,y_error (m),16,-0.738559716
GEO,2025-09-03,y_error (m),17,5.0611687629999995
GEO,2025-09-03,y_error (m),18,-2.278240763
GEO,2025-09-03,y_error (m),19,-0.370984845
GEO,2025-09-03,y_error (m),20,-0.29826999100000007
GEO,2025-09-03,y_error (m),21,-1.8295654959999998
GEO,2025-09-03,y_error (m),22,-0.09392336800000001
GEO,2025-09-03,y_error (m),23,-1.667859108
GEO,2025-09-03,y_error (m),24,-0.514675968
GEO,2025-09-03,y_error (m),25,-6.017990191
GEO,2025-09-03,y_error (m),26,-0.968691286
GEO,2025-09-03,y_error (m),27,-0.7027541110000001
GEO,2025-09-03,y_error (m),28,-2.276989487
GEO,2025-09-03,y_error (m),29,-3.486932658
GEO,2025-09-03,y_error (m),30,-1.998325587
GEO,2025-09-03,y_error (m),31,0.819003552
GEO,2025-09-03,y_error (m),32,1.1042297699999999
GEO,2025-09-03,z_error (m),0,0.9165023470000002
GEO,2025-09-03,z_error (m),1,-0.543087492
GEO,2025-09-03,z_error (m),2,-2.254776864
GEO,2025-09-03,z_error (m),3,-3.949925501
GEO,2025-09-03,z_error (m),4,-2.017297004
GEO,2025-09-03,z_error (m),5,-2.6175017449999998
GEO,2025-09-03,z_error (m),6,-1.6879755559999998
GEO,2025-09-03,z_error (m),7,-1.7181442749999998
GEO,2025-09-03,z_error (m),8,-2.613054854
GEO,2025-09-03,z_error (m),9,-4.383618975999999
GEO,2025-09-03,z_error (m),10,1.3928707300000003
GEO,2025-09-03,z_error (m),11,-5.618007393
GEO,2025-09-03,z_error (m),12,-1.7112704509999999
GEO,2025-09-03,z_error (m),13,-2.18752633
GEO,2025-09-03,z_error (m),14,-2.93414925
GEO,2025-09-03,z_error (m),15,-2.080947974
GEO,2025-09-03,z_error (m),16,-2.086636349
GEO,2025-09-03,z_error (m),17,8.673675873
GEO,2025-09-03,z_error (m),18,-3.029018046
GEO,2025-09-03,z_error (m),19,-1.570279309
GEO,2025-09-03,z_error (m),20,-1.186141246
GEO,2025-09-03,z_error (m),21,-2.719719744
GEO,2025-09-03,z_error (m),22,-2.611219813
GEO,2025-09-03,z_error (m),23,-1.72569103
GEO,2025-09-03,z_error (m),24,-2.299489075
