dataset,validation_day,variable,n,shapiro_W,shapiro_p,decision,residual_mean,residual_std
GEO,2025-09-02,satclockerror (m),12,0.9462108771047072,0.5824167939767673,FAIL_TO_REJECT,1.2805796860833336,1.9646585913595447
GEO,2025-09-02,x_error (m),12,0.9349098307029513,0.43506527700556374,FAIL_TO_REJECT,1.6337062608333335,1.9774936078603864
GEO,2025-09-02,y_error (m),12,0.8981919952878806,0.1503200899955589,FAIL_TO_REJECT,1.5857257415833332,1.9364629742082673
GEO,2025-09-02,z_error (m),12,0.8311897293236225,0.021672822480186198,REJECT,0.7301045168333333,3.2225681359618292
GEO,2025-09-03,satclockerror (m),33,0.7431567325137586,3.153524204683243e-06,REJECT,1.6890692392727271,1.5464112047358776
GEO,2025-09-03,x_error (m),33,0.926651606117224,0.028120044627866582,REJECT,-0.9397372240909092,2.0242240449597113
GEO,2025-09-03,y_error (m),33,0.9346215234757417,0.04746738739313097,REJECT,-0.892960291939394,1.8481094672015195
GEO,2025-09-03,z_error (m),33,0.7699182318872466,9.056372560469062e-06,REJECT,-2.007524676393939,2.44900824177044
GEO,2025-09-04,satclockerror (m),12,0.8828189277434387,0.09525456509433333,FAIL_TO_REJECT,1.294475398,3.182783637405847
GEO,2025-09-04,x_error (m),12,0.8764092063080089,0.07885135435095064,FAIL_TO_REJECT,-1.1032566900000003,3.5065938313492935
GEO,2025-09-04,y_error (m),12,0.9086238052054677,0.20484838036788894,FAIL_TO_REJECT,-1.00039726625,3.0211424173152746
GEO,2025-09-04,z_error (m),12,0.9456257694501522,0.5741695901342003,FAIL_TO_REJECT,-2.07789852925,2.5954728791149186
GEO,2025-09-05,satclockerror (m),12,0.9082361114873739,0.20251351170715987,FAIL_TO_REJECT,3.1074879078333333,2.6414668186008794
GEO,2025-09-05,x_error (m),12,0.9402583421696508,0.5014260974120229,FAIL_TO_REJECT,-0.8515292926666665,2.302695814857933
GEO,2025-09-05,y_error (m),12,0.9559095094254576,0.7242399307560514,FAIL_TO_REJECT,-0.7978918944166665,2.126941729074065
GEO,2025-09-05,z_error (m),12,0.9435196445823695,0.5449664504261268,FAIL_TO_REJECT,-2.731513549666667,2.2791542490190526
GEO,2025-09-06,satclockerror (m),11,0.9549553225677891,0.7076017888292022,FAIL_TO_REJECT,-3.018787466545455,3.2749712112294467
GEO,2025-09-06,x_error (m),11,0.9694202832931369,0.8806166461707692,FAIL_TO_REJECT,1.6970981390909088,2.5823113076267417
GEO,2025-09-06,y_error (m),11,0.8003654759955234,0.009511959153983236,REJECT,1.8338771476363638,6.608935731657921
GEO,2025-09-06,z_error (m),11,0.884228229230895,0.11769393681393081,FAIL_TO_REJECT,0.5718403382727274,5.3582425315155815
GEO,2025-09-07,satclockerror (m),53,0.7175708236546914,8.838519059841643e-09,REJECT,0.11460004466037739,5.407451131442245
GEO,2025-09-07,x_error (m),53,0.9044990479161871,0.00046151565500004,REJECT,-0.6997006720377356,7.596230342556299
GEO,2025-09-07,y_error (m),53,0.8241631617130594,1.925536843168902e-06,REJECT,-0.7392171673396227,13.619770155143302
GEO,2025-09-07,z_error (m),53,0.8411389704815558,5.362879160328241e-06,REJECT,6.126760329981132,9.924823920234214
MEO,2025-09-02,satclockerror (m),7,0.9148675310803207,0.43060141221849363,FAIL_TO_REJECT,0.03698951599999999,0.24931767876371433
MEO,2025-09-02,x_error (m),7,0.9361786056872482,0.6045778344576065,FAIL_TO_REJECT,0.12135013828571432,0.24010171836117958
MEO,2025-09-02,y_error (m),7,0.9148678392502928,0.43060367513552134,FAIL_TO_REJECT,0.648368887,0.2794438713987082
MEO,2025-09-02,z_error (m),7,0.8537553958387463,0.13297788730004867,FAIL_TO_REJECT,0.44844251899999993,0.5136873338925427
MEO,2025-09-03,satclockerror (m),5,0.9438054411884239,0.6929525579906605,FAIL_TO_REJECT,0.09739454160000002,0.2116084178126095
MEO,2025-09-03,x_error (m),5,0.9325087405475054,0.6135755804975151,FAIL_TO_REJECT,0.33482451700000004,0.28690666626037264
MEO,2025-09-03,y_error (m),5,0.7879976830025728,0.06445931086983667,FAIL_TO_REJECT,0.6821341888,0.1412442566044748
MEO,2025-09-03,z_error (m),5,0.8887319143530554,0.35076694181498025,FAIL_TO_REJECT,1.1872338897999999,0.25245789063989177
MEO,2025-09-05,satclockerror (m),6,0.969915842392913,0.8918686036417746,FAIL_TO_REJECT,0.026977249166666672,0.1720926449553568
MEO,2025-09-05,x_error (m),6,0.9129504197725149,0.4560893473495554,FAIL_TO_REJECT,-0.14770014533333323,0.06643638260903928
MEO,2025-09-05,y_error (m),6,0.8676683799191097,0.21706815046606437,FAIL_TO_REJECT,-0.24704788166666666,0.3381645847331639
MEO,2025-09-05,z_error (m),6,0.8307777509182659,0.1091318702379892,FAIL_TO_REJECT,-1.0270979114999998,0.45066776675914694
MEO,2025-09-06,satclockerror (m),7,0.9207528425129589,0.4752640069979384,FAIL_TO_REJECT,0.21710181742857143,0.3029330587746475
MEO,2025-09-06,x_error (m),7,0.9248713590613012,0.5081740921031143,FAIL_TO_REJECT,0.3162247384285713,0.26104235877953863
MEO,2025-09-06,y_error (m),7,0.8578118231504054,0.1446935176798959,FAIL_TO_REJECT,0.5930786434285714,0.5795993780677459
MEO,2025-09-06,z_error (m),7,0.8610209322036397,0.15460814716185245,FAIL_TO_REJECT,0.39162194842857145,0.4862334524008558
MEO,2025-09-07,satclockerror (m),10,0.8211595080924198,0.026173387122069677,REJECT,-0.7030890391000001,0.6001988458586581
MEO,2025-09-07,x_error (m),10,0.8012237332217894,0.015003559508896938,REJECT,-0.6557185045,0.6067136767641385
MEO,2025-09-07,y_error (m),10,0.9582296664374875,0.7655127262581913,FAIL_TO_REJECT,1.0174671564,0.5451639192713461
MEO,2025-09-07,z_error (m),10,0.8251276957406222,0.02922738847513859,REJECT,-0.4187476185,0.6650715808853921
MEO2,2025-09-04,satclockerror (m),17,0.9679261977964665,0.7811737142827326,FAIL_TO_REJECT,0.04710837111764705,0.03913844128832362
MEO2,2025-09-04,x_error (m),17,0.7818145470139222,0.0011548383799452591,REJECT,-0.10251504994117647,0.1886991560783089
MEO2,2025-09-04,y_error (m),17,0.8954542239129266,0.05704328872143584,FAIL_TO_REJECT,0.18821836447058823,0.21276930335051863
MEO2,2025-09-04,z_error (m),17,0.9456857194798831,0.39194722925738057,FAIL_TO_REJECT,-0.018178185764705892,0.25772569319642263
MEO2,2025-09-06,satclockerror (m),29,0.7610809944481663,1.804899763229744e-05,REJECT,0.003246816758620695,0.0428961924770463
MEO2,2025-09-06,x_error (m),29,0.6877297977914952,1.4094971790865357e-06,REJECT,-0.1537985022413793,0.24488648809341862
MEO2,2025-09-06,y_error (m),29,0.7891446950306709,5.368338386660761e-05,REJECT,-0.1145911378965517,0.31521133488451825
MEO2,2025-09-06,z_error (m),29,0.8475540553756914,0.0006775803930993122,REJECT,-0.019697319862068966,0.2934966860801909
MEO2,2025-09-07,satclockerror (m),34,0.7746192677653381,8.58682136329297e-06,REJECT,0.08155310452941171,0.02782064113183609
MEO2,2025-09-07,x_error (m),34,0.6307719885221901,4.982306238006423e-08,REJECT,0.7395296722058824,0.20666089645833755
MEO2,2025-09-07,y_error (m),34,0.9503231600376403,0.12555743700763533,FAIL_TO_REJECT,1.0315961675294116,0.08152961805403636
MEO2,2025-09-07,z_error (m),34,0.903936774437183,0.005837724829457711,REJECT,0.423239498,0.19312696539712557
MEO2,2025-09-08,satclockerror (m),6,0.9183771966641805,0.49375044740084456,FAIL_TO_REJECT,-0.001572181666666633,0.01676735606615613
