dataset,gap_bin_min,pairs,x_error (m),y_error (m),z_error (m),satclockerror (m)
DATA_GEO_Train.csv,0-7,3,,,,
DATA_GEO_Train.csv,7-12,0,,,,
DATA_GEO_Train.csv,12-20,65,-0.6135906823409711,-0.6539352166103777,-0.38633769832230047,-0.5529756876605091
DATA_GEO_Train.csv,20-40,3,,,,
DATA_GEO_Train.csv,40-90,0,,,,
DATA_GEO_Train.csv,90-180,69,0.05046309692676971,-0.1805853957741736,0.1415558723139546,0.23077583636966356
DATA_GEO_Train.csv,180-360,1,,,,
DATA_GEO_Train.csv,360+,0,,,,
DATA_GEO_Test.csv,0-7,2,,,,
DATA_GEO_Test.csv,7-12,1,,,,
DATA_GEO_Test.csv,12-20,60,-0.3505251431795172,-0.3076040827107801,-0.21607506353205108,-0.38615556649644506
DATA_GEO_Test.csv,20-40,1,,,,
DATA_GEO_Test.csv,40-90,0,,,,
DATA_GEO_Test.csv,90-180,4,,,,
DATA_GEO_Test.csv,180-360,0,,,,
DATA_GEO_Test.csv,360+,0,,,,
DATA_MEO_Train.csv,0-7,0,,,,
DATA_MEO_Train.csv,7-12,0,,,,
DATA_MEO_Train.csv,12-20,1,,,,
DATA_MEO_Train.csv,20-40,0,,,,
DATA_MEO_Train.csv,40-90,37,0.7976034072294658,0.9508802824062647,0.9433800809014238,0.015502649401451496
DATA_MEO_Train.csv,90-180,1,,,,
DATA_MEO_Train.csv,180-360,0,,,,
DATA_MEO_Train.csv,360+,6,0.41516430483065236,-0.6270828688917656,-0.7552768052951861,-0.04671461688052186
DATA_MEO_Test.csv,0-7,0,,,,
DATA_MEO_Test.csv,7-12,0,,,,
DATA_MEO_Test.csv,12-20,0,,,,
DATA_MEO_Test.csv,20-40,0,,,,
DATA_MEO_Test.csv,40-90,5,0.28226116465064016,0.9807847140065372,0.8233044413553071,-0.13909151900663613
DATA_MEO_Test.csv,90-180,0,,,,
DATA_MEO_Test.csv,180-360,0,,,,
DATA_MEO_Test.csv,360+,0,,,,
DATA_MEO_Train2.csv,0-7,21,0.6025422969220097,0.7794488564970591,0.773816560370139,-0.09237442209599642
DATA_MEO_Train2.csv,7-12,96,0.3731449759684782,0.8518419466170216,0.9072078484544188,0.5351779797435156
DATA_MEO_Train2.csv,12-20,2,,,,
DATA_MEO_Train2.csv,20-40,0,,,,
DATA_MEO_Train2.csv,40-90,17,0.7334017966616758,0.8773020485761193,0.8609062841762152,0.46489061084605326
DATA_MEO_Train2.csv,90-180,0,,,,
DATA_MEO_Train2.csv,180-360,1,,,,
DATA_MEO_Train2.csv,360+,5,-0.38629521602433103,0.18977125926970745,0.11367986315627675,-0.6430213478664831
DATA_MEO_Test2.csv,0-7,2,,,,
DATA_MEO_Test2.csv,7-12,12,0.8501500688709638,0.4420466079135545,0.6398197158188892,0.1833445075503701
DATA_MEO_Test2.csv,12-20,0,,,,
DATA_MEO_Test2.csv,20-40,0,,,,
DATA_MEO_Test2.csv,40-90,3,,,,
DATA_MEO_Test2.csv,90-180,0,,,,
DATA_MEO_Test2.csv,180-360,0,,,,
DATA_MEO_Test2.csv,360+,0,,,,
