dataset,validation_day,W_lambda_0.00,W_lambda_0.10,W_lambda_0.20,W_lambda_0.30,W_lambda_0.40,W_lambda_0.50,W_lambda_0.75,W_lambda_1.00,best_lambda,best_W,champion_W
GEO,2025-09-02,0.9602760171558052,0.9602760171558054,0.9602760171558054,0.9602760171558051,0.9602760171558054,0.9602760171558054,0.9602760171558054,0.9602760171558054,0.1,0.9602760171558054,0.9602760171558052
GEO,2025-09-03,0.9570499026628768,0.9570499026628768,0.9570499026628767,0.9570499026628767,0.9570499026628767,0.9570499026628767,0.9570499026628768,0.9570499026628767,0.0,0.9570499026628768,0.9570499026628768
GEO,2025-09-04,0.9420864959945621,0.9420864959945623,0.9420864959945621,0.9420864959945622,0.9420864959945621,0.9420864959945623,0.9420864959945621,0.9420864959945621,0.1,0.9420864959945623,0.9420864959945621
GEO,2025-09-05,0.9264739665230334,0.9264739665230334,0.9264739665230335,0.9264739665230335,0.9264739665230335,0.9264739665230335,0.9264739665230334,0.9264739665230335,0.2,0.9264739665230335,0.9264739665230334
GEO,2025-09-06,0.9437282738123951,0.9437282738123951,0.9437282738123951,0.9437282738123952,0.9437282738123951,0.9437282738123952,0.9437282738123952,0.9437282738123951,0.3,0.9437282738123952,0.9437282738123951
GEO,2025-09-07,0.8683458120766708,0.8683458120766708,0.8683458120766708,0.8683458120766707,0.8683458120766707,0.8683458120766708,0.8683458120766707,0.8683458120766708,0.0,0.8683458120766708,0.8683458120766708
MEO,2025-09-02,0.9703805521889859,0.9703805521889859,0.9703805521889859,0.9703805521889859,0.9703805521889859,0.9703805521889859,0.9703805521889859,0.9703805521889859,0.0,0.9703805521889859,0.9703805521889859
MEO,2025-09-03,0.8907981059239657,0.8907981059239657,0.8907981059239656,0.8907981059239657,0.8907981059239657,0.8907981059239656,0.8907981059239657,0.8907981059239657,0.0,0.8907981059239657,0.8907981059239657
MEO,2025-09-05,0.8892149573559227,0.8892149573559227,0.8892149573559227,0.8892149573559227,0.8892149573559228,0.8892149573559228,0.8892149573559227,0.8892149573559227,0.4,0.8892149573559228,0.8892149573559227
MEO,2025-09-06,0.8781049874351563,0.8781049874351563,0.8781049874351563,0.8781049874351563,0.8781049874351563,0.8781049874351563,0.8781049874351563,0.8781049874351564,1.0,0.8781049874351564,0.8781049874351563
MEO,2025-09-07,0.8827830172471487,0.8827830172471487,0.8827830172471486,0.8827830172471487,0.8827830172471487,0.8827830172471487,0.8827830172471487,0.8827830172471487,0.0,0.8827830172471487,0.8827830172471487
MEO2,2025-09-04,0.9248999644389022,0.9248999644389022,0.9248999644389021,0.9248999644389021,0.9248999644389021,0.9248999644389022,0.9248999644389022,0.924899964438902,0.0,0.9248999644389022,0.9248999644389022
MEO2,2025-09-06,0.8908897660645665,0.8908897660645665,0.8908897660645665,0.8908897660645665,0.8908897660645666,0.8908897660645667,0.8908897660645665,0.8908897660645665,0.5,0.8908897660645667,0.8908897660645665
MEO2,2025-09-07,0.8548215547669301,0.8548215547669303,0.8548215547669302,0.8548215547669303,0.8548215547669303,0.8548215547669303,0.8548215547669302,0.8548215547669302,0.1,0.8548215547669303,0.8548215547669301
MEO2,2025-09-08,0.7915579905390663,0.7915579905390663,0.7915579905390663,0.7915579905390663,0.7915579905390663,0.7915579905390663,0.7915579905390663,0.7915579905390663,0.0,0.7915579905390663,0.7915579905390663
MEO2,2025-09-09,0.9047233430615825,0.9047233430615826,0.9047233430615824,0.9047233430615825,0.9047233430615825,0.9047233430615825,0.9047233430615824,0.9047233430615824,0.1,0.9047233430615826,0.9047233430615825
