dataset,validation_day,base_average_W,average_W
GEO,2025-09-02,0.9602760171558052,0.9607185461105583
GEO,2025-09-03,0.9577680613969607,0.9577618511002391
GEO,2025-09-04,0.9298261179917724,0.9287341154424051
GEO,2025-09-05,0.9325460144602489,0.9301400132765383
GEO,2025-09-06,0.8990649988357448,0.9006293957674991
GEO,2025-09-07,0.8480515550143196,0.848042146006022
MEO,2025-09-02,0.9411861074410949,0.9411861545382858
MEO,2025-09-03,0.9433031217851654,0.9436968599550271
MEO,2025-09-05,0.906690707408633,0.904457820180441
MEO,2025-09-06,0.9013287093495251,0.9012030839936871
MEO,2025-09-07,0.9097581347358868,0.9100942618859592
MEO2,2025-09-04,0.9358695276600151,0.9361579089204011
MEO2,2025-09-06,0.8840598808356186,0.8844919922128415
MEO2,2025-09-07,0.8393509217629029,0.8382125008856968
MEO2,2025-09-08,0.8321950808671458,0.8322396127420875
MEO2,2025-09-09,0.8715685048738776,0.8699800451805622
