dataset,validation_day,average_W
GEO,2025-09-02,0.8904288017618482
GEO,2025-09-03,0.8711841623150571
GEO,2025-09-04,0.9141194629021153
GEO,2025-09-05,0.9446399028144045
GEO,2025-09-06,0.9038209592787285
GEO,2025-09-07,0.8225646708497616
MEO,2025-09-02,0.9061648363251296
MEO,2025-09-03,0.8887257472231775
MEO,2025-09-05,0.8952750726043439
MEO,2025-09-06,0.8917386009465718
MEO,2025-09-07,0.8525834292361908
MEO2,2025-09-04,0.9063084116119445
MEO2,2025-09-06,0.7865229497927808
MEO2,2025-09-07,0.8229474763814307
MEO2,2025-09-08,0.8443831309746264
MEO2,2025-09-09,0.7449887778613562
