dataset,validation_day,average_W
GEO,2025-09-02,0.96581732427628
GEO,2025-09-03,0.957688749929605
GEO,2025-09-04,0.9633290479365417
GEO,2025-09-05,0.9121226416848716
GEO,2025-09-06,0.915254103277157
GEO,2025-09-07,0.8602135269809505
MEO,2025-09-02,0.9687707928929123
MEO,2025-09-03,0.9055707228872808
MEO,2025-09-05,0.9008017571959158
MEO,2025-09-06,0.888316246300175
MEO,2025-09-07,0.8871383404768721
MEO2,2025-09-04,0.9248055437444139
MEO2,2025-09-06,0.827664036459373
MEO2,2025-09-07,0.8003973940715918
MEO2,2025-09-08,0.8246945321169135
MEO2,2025-09-09,0.8775364872698465
