dataset,validation_day,average_W
GEO,2025-09-02,0.9632919606920926
GEO,2025-09-03,0.9573416789237146
GEO,2025-09-04,0.9059045060936826
GEO,2025-09-05,0.9440342082977082
GEO,2025-09-06,0.9234304019772069
GEO,2025-09-07,0.8924252042819346
MEO,2025-09-02,0.9315761639843474
MEO,2025-09-03,0.8898877997138518
MEO,2025-09-05,0.8960224574115027
MEO,2025-09-06,0.9026358588518633
MEO,2025-09-07,0.8585703592090088
MEO2,2025-09-04,0.9159672261800564
MEO2,2025-09-06,0.8199497214351834
MEO2,2025-09-07,0.8247176945872361
MEO2,2025-09-08,0.8373561250644863
MEO2,2025-09-09,0.7786653938275649
