dataset,validation_day,average_W
GEO,2025-09-02,0.9660626253012459
GEO,2025-09-03,0.958402712417656
GEO,2025-09-04,0.941757465546027
GEO,2025-09-05,0.920757482399503
GEO,2025-09-06,0.9403688571059787
GEO,2025-09-07,0.900240775002187
MEO,2025-09-02,0.8866345183623393
MEO,2025-09-03,0.8942546205312754
MEO,2025-09-05,0.9067029877202388
MEO,2025-09-06,0.8809176079579595
MEO,2025-09-07,0.9105608600574743
MEO2,2025-09-04,0.936644901590828
MEO2,2025-09-06,0.7996933843795735
MEO2,2025-09-07,0.8141061183011488
MEO2,2025-09-08,0.8213373842036131
MEO2,2025-09-09,0.8764505453726015
