dataset,validation_day,average_W
GEO,2025-09-02,0.9074281814310656
GEO,2025-09-03,0.7984861932988397
GEO,2025-09-04,0.9324519039001175
GEO,2025-09-05,0.9544318347230168
GEO,2025-09-06,0.8992915045738092
GEO,2025-09-07,0.8218845829620427
MEO,2025-09-02,0.9061465333844376
MEO,2025-09-03,0.8963370083401941
MEO,2025-09-05,0.8944204790005734
MEO,2025-09-06,0.8857256281813433
MEO,2025-09-07,0.8514761591720951
MEO2,2025-09-04,0.8976366638625376
MEO2,2025-09-06,0.7703578037714467
MEO2,2025-09-07,0.8658237848933642
MEO2,2025-09-08,0.8478137528320884
MEO2,2025-09-09,0.8632360104515572
