dataset,validation_day,average_W
GEO,2025-09-02,0.9635404543373864
GEO,2025-09-03,0.9573762894971162
GEO,2025-09-04,0.9700978367971589
GEO,2025-09-05,0.9115749357700228
GEO,2025-09-06,0.9213181005959784
GEO,2025-09-07,0.8850852851171349
MEO,2025-09-02,0.9192057117630756
MEO,2025-09-03,0.9143030792848685
MEO,2025-09-05,0.931724707397879
MEO,2025-09-06,0.8701471700840077
MEO,2025-09-07,0.9020199078457098
MEO2,2025-09-04,0.9227609946414962
MEO2,2025-09-06,0.8360463252521566
MEO2,2025-09-07,0.8337903618438569
MEO2,2025-09-08,0.7584040764377321
MEO2,2025-09-09,0.8925289047214737
