dataset,validation_day,average_W
GEO,2025-09-02,0.9650864233495262
GEO,2025-09-03,0.9572894729507964
GEO,2025-09-04,0.9611839563032263
GEO,2025-09-05,0.9409773086489601
GEO,2025-09-06,0.9066457656931832
GEO,2025-09-07,0.8694167494463447
MEO,2025-09-02,0.903290261488308
MEO,2025-09-03,0.9178174519321753
MEO,2025-09-05,0.9319131197254364
MEO,2025-09-06,0.8388836088846028
MEO,2025-09-07,0.8994409910168317
MEO2,2025-09-04,0.9218624226156233
MEO2,2025-09-06,0.8020231331592278
MEO2,2025-09-07,0.8340465865882509
MEO2,2025-09-08,0.8447552937458614
MEO2,2025-09-09,0.8797162821939679
