window_hours,horizon_lo,horizon_hi,bias_type,shrinkage,mean_W,median_W,mean_delta_W
12,720,1200.0,mean,0.25,0.9444632934864544,0.9443360269673965,0.0022197921567759793
12,720,1200.0,median,0.25,0.9444632934864544,0.9443360269673965,0.0022197921567759793
12,0,360.0,mean,0.25,0.9415437774798321,0.9410963166663123,-0.0008734448752632185
12,0,360.0,median,0.25,0.9414553778669872,0.9406543186020876,-0.0009618444881081655
6,0,360.0,median,0.25,0.9411939155151778,0.9393689755588637,-0.0012233068399174485
6,0,360.0,mean,0.25,0.9411220884266138,0.9393689755588637,-0.0012951339284814844
12,0,360.0,mean,0.5,0.9409828347192702,0.9397230212670571,-0.0014343876358251738
12,0,360.0,median,0.5,0.9408770716224989,0.9391942057832008,-0.0015401507325964348
6,0,360.0,mean,0.5,0.9395776563483389,0.9356014891959753,-0.002839566006756411
6,0,360.0,median,0.5,0.9395341318084134,0.9356014891959753,-0.0028830905466820543
12,0,360.0,median,1.0,0.9381676066678475,0.9342619489525769,-0.004249615687247887
12,0,360.0,median,0.75,0.9380754982343843,0.9359332180387208,-0.004341724120710944
12,0,360.0,mean,0.75,0.9376836822824177,0.933974138278888,-0.0047335400726775
12,0,360.0,mean,1.0,0.937191355777865,0.9293806945026655,-0.005225866577230165
12,720,1200.0,mean,0.5,0.9369100868291018,0.9357781751885323,-0.0053334145005766165
12,720,1200.0,median,0.5,0.9369100868291018,0.9357781751885323,-0.0053334145005766165
6,0,360.0,median,1.0,0.9368855094525491,0.9327793142933855,-0.005531712902546148
6,0,360.0,mean,1.0,0.9368612741141872,0.9327793142933855,-0.00555594824090806
6,0,360.0,median,0.75,0.9361400979208707,0.9308106024635368,-0.006277124434224702
6,0,360.0,mean,0.75,0.9360349240729177,0.9308106024635368,-0.006382298282177734
24,0,360.0,mean,0.25,0.935094462120837,0.9290118092945534,-0.002858061534080858
24,0,360.0,median,0.25,0.935094462120837,0.9290118092945534,-0.002858061534080858
12,720,1200.0,mean,0.75,0.9305381377336746,0.931552931524713,-0.01170536359600391
12,720,1200.0,median,0.75,0.9305381377336746,0.931552931524713,-0.01170536359600391
12,720,1200.0,mean,1.0,0.929373459020468,0.9295159935310247,-0.012870042309210405
12,720,1200.0,median,1.0,0.929373459020468,0.9295159935310247,-0.012870042309210405
48,0,360.0,mean,0.25,0.9274854598123351,0.9284443874486961,-0.0036903405315815707
48,0,360.0,median,0.25,0.9274854598123351,0.9284443874486961,-0.0036903405315815707
12,360,720.0,median,0.25,0.9261386055303457,0.9270865212301167,-0.00683922711694183
12,360,720.0,mean,0.25,0.9257947229030363,0.9262155969075498,-0.007183109744251089
6,360,720.0,mean,0.25,0.9228461920459621,0.9217139875787954,-0.015106331608955803
6,360,720.0,median,0.25,0.9228461920459621,0.9217139875787954,-0.015106331608955803
12,360,720.0,median,0.5,0.9190202862881754,0.9135361196311516,-0.013957546359111986
12,360,720.0,mean,0.5,0.9188026977463665,0.915258502949586,-0.014175134900920872
12,360,720.0,median,0.75,0.9153047776623876,0.9151924178946635,-0.017673054984899905
12,360,720.0,mean,0.75,0.9128360640584919,0.9106165636225898,-0.0201417685887955
12,360,720.0,median,1.0,0.912159905483465,0.9145890059930927,-0.020817927163822414
24,0,360.0,mean,0.5,0.9121440058169871,0.9228562451304283,-0.025808517837930783
24,0,360.0,median,0.5,0.9121440058169871,0.9228562451304283,-0.025808517837930783
6,360,720.0,mean,0.5,0.911491152400254,0.910191640214905,-0.0264613712546638
6,360,720.0,median,0.5,0.911491152400254,0.910191640214905,-0.0264613712546638
48,0,360.0,mean,0.5,0.9106054435603093,0.932529751467619,-0.020570356783607302
48,0,360.0,median,0.5,0.9106054435603093,0.932529751467619,-0.020570356783607302
12,360,720.0,mean,1.0,0.9096530233693813,0.9100493810926595,-0.023324809277906217
6,360,720.0,mean,0.75,0.9068115490901966,0.9085820946571708,-0.031140974564721258
6,360,720.0,median,0.75,0.9068115490901966,0.9085820946571708,-0.031140974564721258
6,360,720.0,mean,1.0,0.9048802177673263,0.9068533120037507,-0.03307230588759161
6,360,720.0,median,1.0,0.9048802177673263,0.9068533120037507,-0.03307230588759161
24,0,360.0,mean,0.75,0.8867898685981586,0.9230705078447736,-0.05116265505675932
24,0,360.0,median,0.75,0.8867898685981586,0.9230705078447736,-0.05116265505675932
48,0,360.0,mean,0.75,0.8835080910800267,0.9344938084721499,-0.04766770926388989
48,0,360.0,median,0.75,0.8835080910800267,0.9344938084721499,-0.04766770926388989
24,0,360.0,mean,1.0,0.8710344099467626,0.9229729178078281,-0.06691811370815517
24,0,360.0,median,1.0,0.8710344099467626,0.9229729178078281,-0.06691811370815517
24,720,1200.0,median,0.25,0.8683224982805473,0.9161450185176692,-0.05919569746503646
24,720,1200.0,mean,0.25,0.8677831410559633,0.9162649214679974,-0.05973505468962048
24,360,720.0,mean,0.25,0.8654915307200014,0.9198529121618481,-0.06202666502558254
24,720,1200.0,median,0.5,0.8649283189902779,0.9223279230834889,-0.06258987675530611
24,360,720.0,median,0.25,0.8648650794545271,0.9204365329781341,-0.06265311629105677
24,720,1200.0,mean,0.5,0.864572815464887,0.922067755822238,-0.06294538028069685
24,720,1200.0,mean,0.75,0.862262643282645,0.9233309191524958,-0.06525555246293883
24,720,1200.0,median,0.75,0.8616574138991189,0.9220999861952028,-0.06586078184646497
24,1200,inf,median,0.25,0.8587798860097655,0.927387797018331,-0.06873830973581845
24,1200,inf,mean,0.25,0.8586245545125856,0.9268278434341242,-0.0688936412329983
24,720,1200.0,mean,1.0,0.8577835761035784,0.9161956064663429,-0.06973461964200552
24,720,1200.0,median,1.0,0.8565082671868248,0.913655713202135,-0.0710099285587591
24,1200,inf,mean,0.5,0.8541604843652383,0.9257163466260564,-0.07335771138034548
48,0,360.0,mean,1.0,0.8535883773632968,0.9349584460159726,-0.07758742298061978
48,0,360.0,median,1.0,0.8535883773632968,0.9349584460159726,-0.07758742298061978
24,1200,inf,median,0.5,0.8531132800824622,0.922781918810882,-0.07440491566312166
24,360,720.0,mean,0.5,0.8520215759481722,0.908688630144293,-0.0754966197974116
24,360,720.0,median,0.5,0.8518090252885889,0.9095948709504715,-0.07570917045699496
24,1200,inf,mean,0.75,0.8503517474403202,0.9154147933211529,-0.07716644830526372
24,1200,inf,median,0.75,0.8502639473191559,0.9164602120440042,-0.07725424842642796
24,1200,inf,median,1.0,0.8450218063006124,0.9049676761353859,-0.08249638944497142
24,360,720.0,median,0.75,0.8450099294595234,0.9021112164227767,-0.08250826628606056
24,360,720.0,mean,0.75,0.8443511056135018,0.8967431552943018,-0.08316709013208205
24,1200,inf,mean,1.0,0.8437565987537348,0.9033727229879847,-0.08376159699184912
48,360,720.0,mean,0.25,0.8424944791051538,0.891381499477165,-0.07733259217984553
24,360,720.0,median,1.0,0.8414262922351494,0.8981249237220272,-0.08609190351043447
24,360,720.0,mean,1.0,0.8404339930161969,0.8937827605228086,-0.08708420272938691
48,360,720.0,median,0.25,0.8402933581015467,0.8895251467595429,-0.07953371318345273
48,720,1200.0,median,0.25,0.8182487678626236,0.8362059919282249,-0.10157830342237589
48,720,1200.0,mean,0.25,0.8176342724135768,0.8351707282997849,-0.10219279887142263
48,360,720.0,mean,0.5,0.8098432856642659,0.8525874854105322,-0.10998378562073352
48,360,720.0,median,0.5,0.8074156272872604,0.8504156322914964,-0.11241144399773906
48,720,1200.0,median,0.5,0.8069231253793758,0.8271884234585585,-0.11290394590562358
48,720,1200.0,mean,0.5,0.8052281163306174,0.8252051481222467,-0.11459895495438205
48,720,1200.0,median,0.75,0.8038423032212382,0.8269904348139335,-0.11598476806376123
48,720,1200.0,mean,0.75,0.8020854706343631,0.8247199791965256,-0.11774160065063635
48,720,1200.0,median,1.0,0.8005873979559279,0.8242475095519493,-0.11923967332907157
48,720,1200.0,mean,1.0,0.7993890543461742,0.8228492046379228,-0.1204380169388252
48,360,720.0,mean,0.75,0.7928562384671456,0.82708924062241,-0.12697083281785385
