validation_day,window_hours,horizon_lo,horizon_hi,bias_type,shrinkage,W,champion_W,delta_W
2025-09-02,6,0,360.0,mean,0.25,0.9567083161235828,0.9602760171558052,-0.003567701032222481
2025-09-02,6,0,360.0,mean,0.5,0.9533976207752783,0.9602760171558052,-0.006878396380526897
2025-09-02,6,0,360.0,mean,0.75,0.9419527854375251,0.9602760171558052,-0.018323231718280097
2025-09-02,6,0,360.0,mean,1.0,0.9455754366674962,0.9602760171558052,-0.014700580488309023
2025-09-02,6,0,360.0,median,0.25,0.9570674515664029,0.9602760171558052,-0.0032085655894023013
2025-09-02,6,0,360.0,median,0.5,0.9531799980756501,0.9602760171558052,-0.007096019080155114
2025-09-02,6,0,360.0,median,0.75,0.9424786546772903,0.9602760171558052,-0.017797362478514933
2025-09-02,6,0,360.0,median,1.0,0.9456966133593058,0.9602760171558052,-0.014579403796499468
2025-09-02,12,0,360.0,mean,0.25,0.9588114938512466,0.9602760171558052,-0.001464523304558596
2025-09-02,12,0,360.0,mean,0.5,0.956910271224361,0.9602760171558052,-0.0033657459314442306
2025-09-02,12,0,360.0,mean,0.75,0.9563785851736235,0.9602760171558052,-0.0038974319821817316
2025-09-02,12,0,360.0,mean,1.0,0.9559794050495689,0.9602760171558052,-0.0042966121062363305
2025-09-02,12,0,360.0,median,0.25,0.9588114938512466,0.9602760171558052,-0.001464523304558596
2025-09-02,12,0,360.0,median,0.5,0.956910271224361,0.9602760171558052,-0.0033657459314442306
2025-09-02,12,0,360.0,median,0.75,0.9563785851736235,0.9602760171558052,-0.0038974319821817316
2025-09-02,12,0,360.0,median,1.0,0.9559794050495689,0.9602760171558052,-0.0042966121062363305
2025-09-02,12,360,720.0,mean,0.25,0.9549186652776755,0.9602760171558052,-0.00535735187812969
2025-09-02,12,360,720.0,mean,0.5,0.9569939033225987,0.9602760171558052,-0.0032821138332065347
2025-09-02,12,360,720.0,mean,0.75,0.954462995393537,0.9602760171558052,-0.005813021762268278
2025-09-02,12,360,720.0,mean,1.0,0.9479659359083616,0.9602760171558052,-0.012310081247443594
2025-09-02,12,360,720.0,median,0.25,0.9545941592462684,0.9602760171558052,-0.005681857909536792
2025-09-02,12,360,720.0,median,0.5,0.9567822381894109,0.9602760171558052,-0.0034937789663943564
2025-09-02,12,360,720.0,median,0.75,0.9537348614129504,0.9602760171558052,-0.006541155742854854
2025-09-02,12,360,720.0,median,1.0,0.9462571861048085,0.9602760171558052,-0.014018831050996772
