utc_time,Ex,Ey,Ez,satclockerror (m)
09-08-2025 00:11,-5.785716048,-3.718182984,-1.644088692,-1.943413904
09-08-2025 00:24,-5.777330487,-3.886914806,-1.419929574,-2.039169298
09-08-2025 00:39,-5.70042074,-3.994809326,-1.141855086,-2.15384287
09-08-2025 00:54,-5.55361867,-4.004738461,-0.86686849,-2.269093688
09-08-2025 01:09,-5.345019541,-3.921283295,-0.622943487,-2.378122798
09-08-2025 01:24,-5.088096658,-3.758093126,-0.438074519,-2.470996523
09-08-2025 01:39,-4.800496966,-3.53570481,-0.337310623,-2.534982922
09-08-2025 01:54,-4.502282971,-3.278582517,-0.340213686,-2.55564053
09-08-2025 02:09,-4.21379448,-3.01176293,-0.458928723,-2.518564088
09-08-2025 02:24,-3.953333256,-2.757557791,-0.696955766,-2.411567179
09-08-2025 02:40,-3.722249738,-2.519105807,-1.075930981,-2.211852415
09-08-2025 02:54,-3.567358921,-2.346772965,-1.500013634,-1.963757518
09-08-2025 03:09,-3.451904959,-2.200753583,-2.028893474,-1.628904634
09-08-2025 03:24,-3.383468957,-2.088238547,-2.607499502,-1.238179428
09-08-2025 03:39,-3.350542256,-1.9969118,-3.204083488,-0.815671953
09-08-2025 03:54,-3.336773977,-1.911577767,-3.785558422,-0.392405636
09-08-2025 04:09,-3.323212381,-1.817814145,-4.320265667,-0.004000372
09-08-2025 04:24,-3.291262905,-1.705688678,-4.780815731,0.312382299
09-08-2025 04:40,-3.220205878,-1.563114995,-5.167163346,0.530973177
09-08-2025 04:54,-3.119102281,-1.424670117,-5.4048222,0.594333672
09-08-2025 05:09,-2.970765511,-1.275652121,-5.55150151,0.510765065
09-08-2025 05:24,-2.789800867,-1.144651567,-5.589440851,0.263644062
09-08-2025 05:40,-2.578842938,-1.047911547,-5.519134974,-0.171803318
09-08-2025 05:54,-2.397951922,-1.016376353,-5.374011636,-0.677565349
09-08-2025 06:09,-2.228168723,-1.048821443,-5.143406322,-1.314299599
09-08-2025 06:24,-2.10075199,-1.15242144,-4.846357706,-2.004559111
09-08-2025 06:40,-2.024868996,-1.33299908,-4.468239505,-2.742362557
09-08-2025 06:55,-2.013986781,-1.549893652,-4.066923245,-3.381648643
09-08-2025 07:09,-2.052476998,-1.771907404,-3.6609801,-3.891674419
09-08-2025 07:24,-2.135168202,-2.004542828,-3.204304682,-4.312583196
09-08-2025 07:40,-2.252898884,-2.217596076,-2.709809073,-4.596139384
09-08-2025 07:54,-2.363412774,-2.354626717,-2.288489224,-4.700033347
09-08-2025 08:09,-2.470895481,-2.437754412,-1.86855548,-4.672541363
09-08-2025 08:24,-2.550225792,-2.451443306,-1.500308057,-4.524686198
09-08-2025 08:40,-2.590622791,-2.396198991,-1.183316214,-4.271242224
09-08-2025 08:55,-2.584181921,-2.295031513,-0.970659809,-3.983561733
09-08-2025 09:09,-2.546930561,-2.178314407,-0.85346183,-3.705422172
09-08-2025 09:24,-2.491639552,-2.056064044,-0.818087938,-3.428923542
09-08-2025 09:40,-2.445270597,-1.961116391,-0.880275826,-3.18689649
09-08-2025 10:00,-2.461130398,-1.938956511,-1.084549583,-2.986666219
09-08-2025 12:00,-5.330162401,-3.871672964,-2.55399591,-2.706351464
09-08-2025 14:00,-6.371295749,-2.939503019,-3.457691044,-1.293074639
09-08-2025 16:00,-4.826095213,-2.46520962,-4.190872686,-0.689782526
09-08-2025 16:04,-4.863120454,-2.503332958,-4.207864086,-0.652843947
09-08-2025 16:25,-5.14687543,-2.695285097,-4.332292712,-0.450106695
09-08-2025 16:40,-5.410572385,-2.802453924,-4.46548719,-0.310975317
09-08-2025 16:56,-5.705447347,-2.871189683,-4.652422378,-0.188184559
09-08-2025 17:10,-5.943572176,-2.888141363,-4.852093458,-0.117902485
09-08-2025 17:25,-6.150434797,-2.865238136,-5.096912628,-0.095175662
09-08-2025 17:41,-6.294775461,-2.805678075,-5.380705869,-0.141990613
09-08-2025 17:55,-6.348865958,-2.736740834,-5.633457323,-0.246651798
09-08-2025 18:10,-6.334920601,-2.658571338,-5.889742256,-0.421216485
09-08-2025 18:26,-6.251100307,-2.581616496,-6.121687633,-0.666363796
09-08-2025 18:40,-6.135033595,-2.524770253,-6.267848445,-0.914920232
09-08-2025 18:56,-5.973127169,-2.471563671,-6.346630856,-1.215191128
09-08-2025 19:10,-5.820274941,-2.430427852,-6.322835319,-1.472085717
09-08-2025 19:26,-5.645334373,-2.379572265,-6.178464058,-1.736833371
09-08-2025 19:40,-5.497925449,-2.321510109,-5.947862543,-1.928261474
09-08-2025 19:56,-5.338145366,-2.227938659,-5.573059839,-2.089308233
09-08-2025 20:10,-5.205313807,-2.115132466,-5.162697286,-2.175835921
09-08-2025 20:26,-5.060255218,-1.9479752,-4.626058461,-2.215082965
09-08-2025 20:40,-4.93975566,-1.771887756,-4.124856096,-2.20458238
09-08-2025 20:56,-4.813398804,-1.548567006,-3.551811848,-2.154678695
09-08-2025 21:13,-4.701700971,-1.308293901,-2.984134454,-2.076238445
09-08-2025 22:58,-5.111289227,-1.42728142,-1.487412952,-1.92346088
09-08-2025 23:00,-5.13538031,-1.466298783,-1.479759428,-1.930450641
09-08-2025 23:10,-5.256506579,-1.674442667,-1.437101035,-1.969507896
09-08-2025 23:26,-5.441479639,-2.0364534,-1.341113792,-2.044232365
09-08-2025 23:41,-5.586884888,-2.379234541,-1.204691611,-2.125308723
