utc_time,Ex,Ey,Ez,satclockerror (m)
09-10-2025 11:41,-0.14647406,0.027597058,0.093182352,-0.001384386
09-10-2025 11:51,-0.15014958,0.037897827,0.098130387,-0.001385857
09-10-2025 12:01,-0.154089174,0.048302397,0.101924246,-0.001387315
09-10-2025 12:11,-0.158279243,0.05869799,0.10449232,-0.001388758
09-10-2025 12:21,-0.162704725,0.068968801,0.105779821,-0.001390184
09-10-2025 12:31,-0.167349133,0.078997472,0.10575079,-0.001391591
09-10-2025 13:42,-0.204880603,0.133320385,0.069040077,-0.001400876
09-10-2025 13:51,-0.209957773,0.13697677,0.060487316,-0.001401945
09-10-2025 14:01,-0.215608531,0.139939794,0.050231785,-0.001403101
09-10-2025 14:11,-0.221241237,0.141683179,0.039295684,-0.001404221
09-10-2025 14:21,-0.226826088,0.142153758,0.02779461,-0.001405302
09-10-2025 15:27,-0.2602527,0.111895178,-0.054664264,-0.001411399
09-10-2025 15:31,-0.261969625,0.108258496,-0.059678602,-0.001411705
09-10-2025 15:41,-0.26604989,0.098370505,-0.072067826,-0.001412438
09-10-2025 16:48,-0.283666608,0.011541929,-0.143908447,-0.001416055
09-10-2025 16:51,-0.283992594,0.007267292,-0.146418025,-0.001416163
09-10-2025 17:01,-0.284759184,-0.006891508,-0.154175924,-0.001416485
09-10-2025 17:11,-0.285022953,-0.02075408,-0.160922905,-0.001416754
