stage_id,stage_order,date,commit_sha,commit_message,milestone_name,project_phase,model,model_family,satellite,orbit_type,dataset,training_samples,test_samples,forecast_horizon,input_features,physics_features,physics_mode,orbital_state_source,key_hyperparameters,w_x,w_y,w_z,w_clock,w_avg,p_x,p_y,p_z,p_clock,p_avg,h0_x,h0_y,h0_z,h0_clock,aggregate_residual_mean,aggregate_residual_std,qq_outliers,qq_max_discrepancy,mae,rmse,three_d_mae,three_d_rmse,clock_mae,clock_rmse,sisre,official_selection_priority,selection_status,selected_model,problem_addressed,change_introduced,result,performance_change,limitation,next_step,evidence_source,evidence_commit,confidence,notes
STAGE-01,1,2026-08-17 23:16:01,550514ddc07e024fa19d386d462d49bccbaef6c1,Version 4.0,Multi-Model Inception & Legacy Foundation,Exploratory Architecture Inception,BiLSTM / Transformer / Diffusion,Deep Neural Networks (PyTorch),Multi-Satellite (GPS / GLONASS),MEO,FINAL_Data.csv / SP3 Products,41022,NA,96,"Raw ECEF coordinates, SP3 clock errors, temporal lags",None (Basic Cartesian ECEF),none,none,"bilstm_hidden=64; transformer_layers=4,d_model=64; diffusion_steps=50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA (Early exploratory phase),Exploratory baseline,None (Multi-model exploration),Initial exploration of multi-step satellite orbit and clock error forecasting using deep learning.,"Implemented PyTorch BiLSTM, Transformer, and Diffusion architectures with Optuna hyperparameter tuning.",Established automated data pipeline and baseline neural modeling for multi-satellite ephemeris errors.,NA (Initial baseline inception),Heavy dependence on external SP3/RINEX ingestion; uncalibrated for small competition datasets.,Transition to official PS-08 competition datasets and direct residual error modeling.,"Commit diff, README.md, test_results/baseline_metrics.json",550514ddc07e024fa19d386d462d49bccbaef6c1,high,Project originally named Gaitonde / early NeuroNav foundation prior to official PS-08 challenge orientation.
STAGE-02,2,2026-09-03 15:27:10,b44bba20d181c52dc623f8d8a88a4d21362be9b0,initial commit,PS-08 Initial BiLSTM Baseline,Initial Implementation / Baseline Experiments,BiLSTM,Recurrent Neural Network (PyTorch),GEO,GEO,Data_PS-08/DATA_GEO_Train.csv / Data_PS-08/DATA_GEO_Test.csv,142,69,69,"Normalized historical errors [x, y, z, clock], sequence_window=12",None (Direct error residuals in ECEF),none,none,hidden_size=32; num_layers=1; bidirectional=True; lr=0.001; epochs=150; window=12; optimizer=Adam,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.962189,15.929421,NA,NA,6.576054,15.860066,NA,MAE / RMSE (Legacy evaluation),Baseline implementation,BiLSTM,Initial baseline benchmark on PS-08 satellite orbit and clock errors without physical coordinates.,Developed train_bilstm.py training standalone BiLSTM autoregressive models per satellite series.,Trained 150 epochs. Final scaled training MSE: 0.2060. Overall MAE: 8.9622 m.,NA (Initial PS-08 baseline),"High GEO error (MAE 8.96m, RMSE 15.93m); no normality verification or residual distribution modeling.",Benchmark against OrbitIQ pretrained models and explore non-neural baselines.,"outputs/metrics.json, train_bilstm.py",b44bba20d181c52dc623f8d8a88a4d21362be9b0,high,First direct benchmark on authentic PS-08 7-day train and 8th-day test datasets.
STAGE-02,2,2026-09-03 15:27:10,b44bba20d181c52dc623f8d8a88a4d21362be9b0,initial commit,PS-08 Initial BiLSTM Baseline,Initial Implementation / Baseline Experiments,BiLSTM,Recurrent Neural Network (PyTorch),MEO-1,MEO,Data_PS-08/DATA_MEO_Train.csv / Data_PS-08/DATA_MEO_Test.csv,90,11,11,"Normalized historical errors [x, y, z, clock], sequence_window=12",None (Direct error residuals in ECEF),none,none,hidden_size=32; num_layers=1; bidirectional=True; lr=0.001; epochs=150; window=12; optimizer=Adam,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.279279,0.371489,NA,NA,0.098237,0.122070,NA,MAE / RMSE (Legacy evaluation),Baseline implementation,BiLSTM,Initial baseline benchmark on PS-08 satellite orbit and clock errors without physical coordinates.,Developed train_bilstm.py training standalone BiLSTM autoregressive models per satellite series.,Trained 150 epochs. Final scaled training MSE: 0.1454. Overall MAE: 0.2793 m.,NA (Initial PS-08 baseline),"High GEO error (MAE 8.96m, RMSE 15.93m); no normality verification or residual distribution modeling.",Benchmark against OrbitIQ pretrained models and explore non-neural baselines.,"outputs/metrics.json, train_bilstm.py",b44bba20d181c52dc623f8d8a88a4d21362be9b0,high,First direct benchmark on authentic PS-08 7-day train and 8th-day test datasets.
STAGE-02,2,2026-09-03 15:27:10,b44bba20d181c52dc623f8d8a88a4d21362be9b0,initial commit,PS-08 Initial BiLSTM Baseline,Initial Implementation / Baseline Experiments,BiLSTM,Recurrent Neural Network (PyTorch),MEO-2,MEO,Data_PS-08/DATA_MEO_Train2.csv / Data_PS-08/DATA_MEO_Test2.csv,244,30,30,"Normalized historical errors [x, y, z, clock], sequence_window=12",None (Direct error residuals in ECEF),none,none,hidden_size=32; num_layers=1; bidirectional=True; lr=0.001; epochs=150; window=12; optimizer=Adam,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.103367,0.163158,NA,NA,0.024826,0.041734,NA,MAE / RMSE (Legacy evaluation),Baseline implementation,BiLSTM,Initial baseline benchmark on PS-08 satellite orbit and clock errors without physical coordinates.,Developed train_bilstm.py training standalone BiLSTM autoregressive models per satellite series.,Trained 150 epochs. Final scaled training MSE: 0.1718. Overall MAE: 0.1034 m.,NA (Initial PS-08 baseline),"High GEO error (MAE 8.96m, RMSE 15.93m); no normality verification or residual distribution modeling.",Benchmark against OrbitIQ pretrained models and explore non-neural baselines.,"outputs/metrics.json, train_bilstm.py",b44bba20d181c52dc623f8d8a88a4d21362be9b0,high,First direct benchmark on authentic PS-08 7-day train and 8th-day test datasets.
STAGE-03,3,2026-09-03 18:34:59,c818f3e63b416008d5254219e97e710d9468f443,Major Upgradations and Hybrid Model Addition,OrbitIQ Pretrained LSTM Benchmark,Model Comparison & Benchmarking,OrbitIQ Pretrained LSTM,Recurrent Neural Network (Keras / TensorFlow),GEO,GEO,DATA_GEO_Train.csv,142,NA (Evaluation on historical series),1,Single-target lag windows with StandardScaler,None,none,none,pretrained_weights_h5; target_specific_networks=True,0.944924,0.911423,0.934167,0.874963,0.916369,0.161110,0.024651,0.087491,0.003747,NA,0,1,0,1,NA,NA,NA,NA,3.877938,5.228366,8.092654,10.235726,2.313255,3.335296,NA,MAE / Normality Diagnostics,External Benchmark Evaluation,OrbitIQ Pretrained LSTM,Assess external pre-trained OrbitIQ neural weights against the PS-08 training distributions.,Integrated scripts/evaluate_orbitiq.py to run pre-trained HDF5 models on PS-08 error files.,"Evaluated across 142 epochs. 3D Position Error Mean: 8.0927 m, W_avg: 0.9164.",comparable; lower 3D error than initial BiLSTM on training distributions,Models trained on separate data distribution; severe normality rejections on MEO-2 (p < 1e-7).,Evaluate native machine learning models on Day-8 out-of-sample holdouts.,"results/orbitiq_evaluation/evaluation_metrics.json, EVALUATION_REPORT.md",c818f3e63b416008d5254219e97e710d9468f443,high,Pretrained LSTM models evaluated individually per coordinate axis.
STAGE-03,3,2026-09-03 18:34:59,c818f3e63b416008d5254219e97e710d9468f443,Major Upgradations and Hybrid Model Addition,Random Forest Baseline Benchmark,Model Comparison & Benchmarking,Random Forest,Ensemble Trees (scikit-learn),GEO,GEO,DATA_GEO_Train.csv,142,NA,1,Single-target lag windows with StandardScaler,None,none,none,n_estimators=100; max_depth=10,0.973468,0.962372,0.965498,0.913927,0.953816,0.695118,0.417884,0.488355,0.028257,NA,0,0,0,1,NA,NA,NA,NA,4.100461,5.251675,8.479049,10.239217,2.684319,3.339593,NA,MAE / Normality Diagnostics,Comparative baseline,OrbitIQ Pretrained LSTM,Direct comparison between ensemble decision trees and recurrent neural networks on error series.,Trained RandomForestRegressor alongside LSTM in evaluate_orbitiq.py.,"MEO-2 3D error dramatically lower (0.1577m vs 1.4215m), but W_avg on MEO-2 dropped to 0.9538.","comparable; superior 3D precision on MEO-2, comparable on GEO and MEO-1",Tree-based models cannot extrapolate trends outside historical bounds.,Construct multi-model Day-8 holdout evaluation with Shapiro-Wilk ranking.,results/orbitiq_evaluation/evaluation_metrics.json,c818f3e63b416008d5254219e97e710d9468f443,high,Random forest showed strong precision on small residual magnitudes.
STAGE-03,3,2026-09-03 18:34:59,c818f3e63b416008d5254219e97e710d9468f443,Major Upgradations and Hybrid Model Addition,OrbitIQ Pretrained LSTM Benchmark,Model Comparison & Benchmarking,OrbitIQ Pretrained LSTM,Recurrent Neural Network (Keras / TensorFlow),MEO-1,MEO,DATA_MEO_Train.csv,90,NA (Evaluation on historical series),1,Single-target lag windows with StandardScaler,None,none,none,pretrained_weights_h5; target_specific_networks=True,0.847597,0.943081,0.850295,0.919734,0.890177,0.009859,0.356563,0.010836,0.146152,NA,1,0,1,0,NA,NA,NA,NA,0.385225,0.483234,0.824407,0.868795,0.356729,0.457858,NA,MAE / Normality Diagnostics,External Benchmark Evaluation,OrbitIQ Pretrained LSTM,Assess external pre-trained OrbitIQ neural weights against the PS-08 training distributions.,Integrated scripts/evaluate_orbitiq.py to run pre-trained HDF5 models on PS-08 error files.,"Evaluated across 90 epochs. 3D Position Error Mean: 0.8244 m, W_avg: 0.8902.",comparable; lower 3D error than initial BiLSTM on training distributions,Models trained on separate data distribution; severe normality rejections on MEO-2 (p < 1e-7).,Evaluate native machine learning models on Day-8 out-of-sample holdouts.,"results/orbitiq_evaluation/evaluation_metrics.json, EVALUATION_REPORT.md",c818f3e63b416008d5254219e97e710d9468f443,high,Pretrained LSTM models evaluated individually per coordinate axis.
STAGE-03,3,2026-09-03 18:34:59,c818f3e63b416008d5254219e97e710d9468f443,Major Upgradations and Hybrid Model Addition,Random Forest Baseline Benchmark,Model Comparison & Benchmarking,Random Forest,Ensemble Trees (scikit-learn),MEO-1,MEO,DATA_MEO_Train.csv,90,NA,1,Single-target lag windows with StandardScaler,None,none,none,n_estimators=100; max_depth=10,0.804147,0.930023,0.861659,0.915389,0.877805,0.002314,0.217837,0.016233,0.123389,NA,1,0,1,0,NA,NA,NA,NA,0.371446,0.474009,0.799109,0.844466,0.349491,0.466577,NA,MAE / Normality Diagnostics,Comparative baseline,OrbitIQ Pretrained LSTM,Direct comparison between ensemble decision trees and recurrent neural networks on error series.,Trained RandomForestRegressor alongside LSTM in evaluate_orbitiq.py.,"MEO-2 3D error dramatically lower (0.1577m vs 1.4215m), but W_avg on MEO-2 dropped to 0.8778.","comparable; superior 3D precision on MEO-2, comparable on GEO and MEO-1",Tree-based models cannot extrapolate trends outside historical bounds.,Construct multi-model Day-8 holdout evaluation with Shapiro-Wilk ranking.,results/orbitiq_evaluation/evaluation_metrics.json,c818f3e63b416008d5254219e97e710d9468f443,high,Random forest showed strong precision on small residual magnitudes.
STAGE-03,3,2026-09-03 18:34:59,c818f3e63b416008d5254219e97e710d9468f443,Major Upgradations and Hybrid Model Addition,OrbitIQ Pretrained LSTM Benchmark,Model Comparison & Benchmarking,OrbitIQ Pretrained LSTM,Recurrent Neural Network (Keras / TensorFlow),MEO-2,MEO,DATA_MEO_Train2.csv,244,NA (Evaluation on historical series),1,Single-target lag windows with StandardScaler,None,none,none,pretrained_weights_h5; target_specific_networks=True,0.601232,0.728666,0.681018,0.961124,0.743010,0.000000,0.000000,0.000000,0.112099,NA,1,1,1,0,NA,NA,NA,NA,0.629218,0.634428,1.421484,1.426984,0.226247,0.227040,NA,MAE / Normality Diagnostics,External Benchmark Evaluation,OrbitIQ Pretrained LSTM,Assess external pre-trained OrbitIQ neural weights against the PS-08 training distributions.,Integrated scripts/evaluate_orbitiq.py to run pre-trained HDF5 models on PS-08 error files.,"Evaluated across 244 epochs. 3D Position Error Mean: 1.4215 m, W_avg: 0.7430.",comparable; lower 3D error than initial BiLSTM on training distributions,Models trained on separate data distribution; severe normality rejections on MEO-2 (p < 1e-7).,Evaluate native machine learning models on Day-8 out-of-sample holdouts.,"results/orbitiq_evaluation/evaluation_metrics.json, EVALUATION_REPORT.md",c818f3e63b416008d5254219e97e710d9468f443,high,Pretrained LSTM models evaluated individually per coordinate axis.
STAGE-03,3,2026-09-03 18:34:59,c818f3e63b416008d5254219e97e710d9468f443,Major Upgradations and Hybrid Model Addition,Random Forest Baseline Benchmark,Model Comparison & Benchmarking,Random Forest,Ensemble Trees (scikit-learn),MEO-2,MEO,DATA_MEO_Train2.csv,244,NA,1,Single-target lag windows with StandardScaler,None,none,none,n_estimators=100; max_depth=10,0.653856,0.927004,0.505625,0.872738,0.739806,0.000000,0.005296,0.000000,0.000093,NA,1,1,1,1,NA,NA,NA,NA,0.061018,0.096494,0.157677,0.215995,0.010429,0.016437,NA,MAE / Normality Diagnostics,Comparative baseline,OrbitIQ Pretrained LSTM,Direct comparison between ensemble decision trees and recurrent neural networks on error series.,Trained RandomForestRegressor alongside LSTM in evaluate_orbitiq.py.,"MEO-2 3D error dramatically lower (0.1577m vs 1.4215m), but W_avg on MEO-2 dropped to 0.7398.","comparable; superior 3D precision on MEO-2, comparable on GEO and MEO-1",Tree-based models cannot extrapolate trends outside historical bounds.,Construct multi-model Day-8 holdout evaluation with Shapiro-Wilk ranking.,results/orbitiq_evaluation/evaluation_metrics.json,c818f3e63b416008d5254219e97e710d9468f443,high,Random forest showed strong precision on small residual magnitudes.
