dataset,validation_day,average_W
GEO,2025-09-02,0.9026256081047904
GEO,2025-09-03,0.8435870234984927
GEO,2025-09-04,0.9033694271767669
GEO,2025-09-05,0.936980901916213
GEO,2025-09-06,0.9022423277718361
GEO,2025-09-07,0.8218430009413734
MEO,2025-09-02,0.904917342964152
MEO,2025-09-03,0.8882609447728893
MEO,2025-09-05,0.8953280982507008
MEO,2025-09-06,0.8911142392320762
MEO,2025-09-07,0.8514351508730797
MEO2,2025-09-04,0.8977201720507997
MEO2,2025-09-06,0.7713773856615059
MEO2,2025-09-07,0.8149127976905879
MEO2,2025-09-08,0.8434066655231452
MEO2,2025-09-09,0.7440444741129801
