dataset,validation_day,variable,n,mae,rmse,residual_mean,residual_std
GEO,2025-09-02,x_error (m),12,1.9687346168333333,2.565049144912183,1.6337062608333335,1.9774936078603864
GEO,2025-09-02,y_error (m),12,1.8398263419166667,2.5028813351814225,1.5857257415833332,1.9364629742082673
GEO,2025-09-02,z_error (m),12,2.0914734158333332,3.3042393975644284,0.7301045168333334,3.2225681359618292
GEO,2025-09-02,satclockerror (m),12,1.96091569925,2.3451583556365994,1.2805796860833334,1.9646585913595442
GEO,2025-09-03,x_error (m),33,1.670300619909091,2.231723332883165,-0.939737224090909,2.0242240449597113
GEO,2025-09-03,y_error (m),33,1.6069201931515151,2.0525317745994514,-0.892960291939394,1.8481094672015195
GEO,2025-09-03,z_error (m),33,2.6855881932424244,3.166669653530367,-2.007524676393939,2.44900824177044
GEO,2025-09-03,satclockerror (m),33,1.9368013451515151,2.2900529489926686,1.6890692392727271,1.5464112047358776
GEO,2025-09-04,x_error (m),12,2.9542562468333333,3.6760543551594385,-1.1032566900000003,3.5065938313492935
GEO,2025-09-04,y_error (m),12,2.5508557925833335,3.182466998418374,-1.00039726625,3.0211424173152746
GEO,2025-09-04,z_error (m),12,2.6512269400833333,3.3247769495231405,-2.07789852925,2.5954728791149186
GEO,2025-09-04,satclockerror (m),12,3.1059418859999997,3.4359537596663974,1.294475398,3.182783637405847
GEO,2025-09-05,x_error (m),12,2.0029969924999995,2.455098806979799,-0.8515292926666668,2.3026958148579326
GEO,2025-09-05,y_error (m),12,1.8750993632500002,2.2716761639926566,-0.7978918944166669,2.126941729074065
GEO,2025-09-05,z_error (m),12,2.8373708328333334,3.557486523211886,-2.731513549666667,2.2791542490190526
GEO,2025-09-05,satclockerror (m),12,3.543183827,4.078459028983843,3.1074879078333333,2.6414668186008794
GEO,2025-09-06,x_error (m),11,2.517014730181818,3.0900604821269693,1.697098139090909,2.5823113076267417
GEO,2025-09-06,y_error (m),11,4.395430968545455,6.8586541608254095,1.8338771476363638,6.608935731657921
GEO,2025-09-06,z_error (m),11,3.963865687363637,5.388670002794601,0.5718403382727274,5.3582425315155815
GEO,2025-09-06,satclockerror (m),11,3.8018939005454544,4.454044701454353,-3.018787466545455,3.2749712112294462
GEO,2025-09-07,x_error (m),53,5.047925117622641,7.628387539160753,-0.6997006720377356,7.596230342556298
GEO,2025-09-07,y_error (m),53,7.855516194584906,13.639816021465315,-0.7392171673396227,13.619770155143302
GEO,2025-09-07,z_error (m),53,8.593285904660377,11.663589584201073,6.126760329981132,9.924823920234214
GEO,2025-09-07,satclockerror (m),53,2.753089259566038,5.408665353779264,0.11460004466037732,5.407451131442245
MEO,2025-09-02,x_error (m),7,0.19995681885714287,0.26902544716430304,0.12135013828571435,0.2401017183611796
MEO,2025-09-02,y_error (m),7,0.648368887,0.7060248514690659,0.648368887,0.2794438713987082
MEO,2025-09-02,z_error (m),7,0.6197904652857141,0.6818910249069817,0.44844251899999993,0.5136873338925427
MEO,2025-09-02,satclockerror (m),7,0.19024385714285713,0.2520466806725312,0.03698951599999999,0.24931767876371433
MEO,2025-09-03,x_error (m),5,0.33482451700000004,0.4409341133649382,0.33482451700000004,0.28690666626037264
MEO,2025-09-03,y_error (m),5,0.6821341888,0.6966038986063635,0.6821341888,0.1412442566044748
MEO,2025-09-03,z_error (m),5,1.1872338897999999,1.213778931946004,1.1872338897999999,0.2524578906398918
MEO,2025-09-03,satclockerror (m),5,0.20250336,0.23294595772974908,0.09739454160000001,0.2116084178126095
MEO,2025-09-05,x_error (m),6,0.1477001453333333,0.1619540856714101,-0.1477001453333333,0.06643638260903927
MEO,2025-09-05,y_error (m),6,0.28058375,0.4187934361994473,-0.2470478816666667,0.3381645847331639
MEO,2025-09-05,z_error (m),6,1.0270979115,1.1216200585774752,-1.0270979115,0.4506677667591468
