dataset,target_lag_min,pairs,x_error (m),y_error (m),z_error (m),satclockerror (m)
DATA_GEO_Train.csv,5,3,,,,
DATA_GEO_Train.csv,10,0,,,,
DATA_GEO_Train.csv,15,62,-0.6547882669904594,-0.7591458069953145,-0.5289072848681826,-0.6385105823018524
DATA_GEO_Train.csv,30,64,0.4275856629842153,0.40075854273058736,0.09702496456569872,0.19194289281202417
DATA_GEO_Train.csv,60,65,0.12084351424490367,0.060006662063829055,0.02838115554685996,-0.12094972888495838
DATA_GEO_Train.csv,120,129,-0.06369197405763027,-0.0069476861349422716,0.025150370210956768,0.07228508951927133
DATA_GEO_Train.csv,240,123,-0.20284688277981533,-0.36835648135129856,-0.31939653123301437,-0.1918658832827901
DATA_GEO_Test.csv,5,1,,,,
DATA_GEO_Test.csv,10,1,,,,
DATA_GEO_Test.csv,15,59,-0.3687016660817075,-0.3105653917530704,-0.21098619008794078,-0.41070736204670427
DATA_GEO_Test.csv,30,58,-0.10717892516775823,-0.31186986931410093,0.007279336080193458,-0.27344012376376736
DATA_GEO_Test.csv,60,54,-0.37215627066284146,-0.1271892809255929,-0.19061646066324678,-0.3281992706003564
DATA_GEO_Test.csv,120,54,-0.01177952322944746,-0.06059479764868521,-0.04579105243953727,0.012519181024061554
DATA_GEO_Test.csv,240,46,-0.11159330061292962,0.0462683116785403,-0.16967111785661496,0.02020025947753651
DATA_MEO_Train.csv,5,0,,,,
DATA_MEO_Train.csv,10,0,,,,
DATA_MEO_Train.csv,15,1,,,,
DATA_MEO_Train.csv,30,0,,,,
DATA_MEO_Train.csv,60,37,0.7976034072294658,0.9508802824062647,0.9433800809014238,0.015502649401451496
DATA_MEO_Train.csv,120,30,0.40370750996960286,0.8332480631366229,0.8102595141642204,-0.6079663087341184
DATA_MEO_Train.csv,240,19,-0.14497037435304222,0.36947277584450794,-0.3096166563057272,0.0691230556895516
DATA_MEO_Test.csv,5,0,,,,
DATA_MEO_Test.csv,10,0,,,,
DATA_MEO_Test.csv,15,0,,,,
DATA_MEO_Test.csv,30,0,,,,
DATA_MEO_Test.csv,60,5,0.28226116465064016,0.9807847140065372,0.8233044413553071,-0.13909151900663613
DATA_MEO_Test.csv,120,4,,,,
DATA_MEO_Test.csv,240,2,,,,
DATA_MEO_Train2.csv,5,15,0.6297509768959465,0.7425904767844007,0.7962440053997429,-0.26667226374152425
DATA_MEO_Train2.csv,10,96,0.3731449759684782,0.8518419466170216,0.9072078484544188,0.5351779797435156
DATA_MEO_Train2.csv,15,14,0.7249857720023867,0.829659518936067,0.8176167348166875,-0.17573588734455625
DATA_MEO_Train2.csv,30,67,0.27503182373749935,0.5867623522991504,0.6445089821369491,0.16268852764405317
DATA_MEO_Train2.csv,60,64,0.16124869225791832,0.39167628538632,0.4497590002301343,0.12528533884153784
DATA_MEO_Train2.csv,120,67,0.30031332719620224,0.6319603629060528,0.516816627621756,0.0019754421041447067
DATA_MEO_Train2.csv,240,50,-0.14271405882921026,0.2828566984386435,0.22177660682794698,-0.08021110058497746
DATA_MEO_Test2.csv,5,2,,,,
DATA_MEO_Test2.csv,10,12,0.8501500688709638,0.4420466079135545,0.6398197158188892,0.1833445075503701
DATA_MEO_Test2.csv,15,2,,,,
DATA_MEO_Test2.csv,30,5,0.8829379031822076,0.18534519411488648,0.22573344751410357,0.7316034045651519
DATA_MEO_Test2.csv,60,5,0.4888190564865271,0.29635054151349793,0.3272413140994909,-0.6834463891511877
DATA_MEO_Test2.csv,120,8,0.12396020849534291,-0.2519044471244962,-0.5104898675284287,0.542313616047432
DATA_MEO_Test2.csv,240,6,-0.13752953770820728,-0.6632616583570579,-0.7374400574737159,-0.6454954678409728
