dataset,lag_min,pairs,past_variable,future_variable,correlation
DATA_GEO_Train.csv,10,0,x_error (m),x_error (m),
DATA_GEO_Train.csv,10,0,x_error (m),y_error (m),
DATA_GEO_Train.csv,10,0,x_error (m),z_error (m),
DATA_GEO_Train.csv,10,0,x_error (m),satclockerror (m),
DATA_GEO_Train.csv,10,0,y_error (m),x_error (m),
DATA_GEO_Train.csv,10,0,y_error (m),y_error (m),
DATA_GEO_Train.csv,10,0,y_error (m),z_error (m),
DATA_GEO_Train.csv,10,0,y_error (m),satclockerror (m),
DATA_GEO_Train.csv,10,0,z_error (m),x_error (m),
DATA_GEO_Train.csv,10,0,z_error (m),y_error (m),
DATA_GEO_Train.csv,10,0,z_error (m),z_error (m),
DATA_GEO_Train.csv,10,0,z_error (m),satclockerror (m),
DATA_GEO_Train.csv,10,0,satclockerror (m),x_error (m),
DATA_GEO_Train.csv,10,0,satclockerror (m),y_error (m),
DATA_GEO_Train.csv,10,0,satclockerror (m),z_error (m),
DATA_GEO_Train.csv,10,0,satclockerror (m),satclockerror (m),
DATA_GEO_Train.csv,15,62,x_error (m),x_error (m),-0.6547882669904594
DATA_GEO_Train.csv,15,62,x_error (m),y_error (m),-0.7091277511828525
DATA_GEO_Train.csv,15,62,x_error (m),z_error (m),-0.5806298493129989
DATA_GEO_Train.csv,15,62,x_error (m),satclockerror (m),-0.6480927581518777
DATA_GEO_Train.csv,15,62,y_error (m),x_error (m),-0.6920522086626365
DATA_GEO_Train.csv,15,62,y_error (m),y_error (m),-0.7591458069953145
DATA_GEO_Train.csv,15,62,y_error (m),z_error (m),-0.6237390710667631
DATA_GEO_Train.csv,15,62,y_error (m),satclockerror (m),-0.6996217452773779
DATA_GEO_Train.csv,15,62,z_error (m),x_error (m),-0.5877658051255403
DATA_GEO_Train.csv,15,62,z_error (m),y_error (m),-0.6555347404009979
DATA_GEO_Train.csv,15,62,z_error (m),z_error (m),-0.5289072848681826
DATA_GEO_Train.csv,15,62,z_error (m),satclockerror (m),-0.6315290150375965
DATA_GEO_Train.csv,15,62,satclockerror (m),x_error (m),-0.5640159289404705
DATA_GEO_Train.csv,15,62,satclockerror (m),y_error (m),-0.6523098805011563
DATA_GEO_Train.csv,15,62,satclockerror (m),z_error (m),-0.5355229223153558
DATA_GEO_Train.csv,15,62,satclockerror (m),satclockerror (m),-0.6385105823018524
DATA_GEO_Train.csv,30,64,x_error (m),x_error (m),0.4275856629842153
DATA_GEO_Train.csv,30,64,x_error (m),y_error (m),0.4562549666674721
DATA_GEO_Train.csv,30,64,x_error (m),z_error (m),0.2967796282242662
DATA_GEO_Train.csv,30,64,x_error (m),satclockerror (m),0.3286448206387895
DATA_GEO_Train.csv,30,64,y_error (m),x_error (m),0.3548075581528139
DATA_GEO_Train.csv,30,64,y_error (m),y_error (m),0.40075854273058736
DATA_GEO_Train.csv,30,64,y_error (m),z_error (m),0.21108960645064354
DATA_GEO_Train.csv,30,64,y_error (m),satclockerror (m),0.31150559876182193
DATA_GEO_Train.csv,30,64,z_error (m),x_error (m),0.22371502652331257
DATA_GEO_Train.csv,30,64,z_error (m),y_error (m),0.2983556866250984
DATA_GEO_Train.csv,30,64,z_error (m),z_error (m),0.09702496456569872
DATA_GEO_Train.csv,30,64,z_error (m),satclockerror (m),0.2798057044386804
DATA_GEO_Train.csv,30,64,satclockerror (m),x_error (m),0.14772640827141623
DATA_GEO_Train.csv,30,64,satclockerror (m),y_error (m),0.20110351766934326
DATA_GEO_Train.csv,30,64,satclockerror (m),z_error (m),0.02964346609354433
DATA_GEO_Train.csv,30,64,satclockerror (m),satclockerror (m),0.19194289281202417
DATA_GEO_Train.csv,60,65,x_error (m),x_error (m),0.12084351424490367
DATA_GEO_Train.csv,60,65,x_error (m),y_error (m),0.12786707356217816
DATA_GEO_Train.csv,60,65,x_error (m),z_error (m),0.1048690706295487
DATA_GEO_Train.csv,60,65,x_error (m),satclockerror (m),0.07992625676861365
DATA_GEO_Train.csv,60,65,y_error (m),x_error (m),0.11605372412659622
DATA_GEO_Train.csv,60,65,y_error (m),y_error (m),0.060006662063829055
DATA_GEO_Train.csv,60,65,y_error (m),z_error (m),0.04307570356029213
DATA_GEO_Train.csv,60,65,y_error (m),satclockerror (m),-0.035610113222168095
DATA_GEO_Train.csv,60,65,z_error (m),x_error (m),0.14453466071912027
DATA_GEO_Train.csv,60,65,z_error (m),y_error (m),0.045916500919581583
DATA_GEO_Train.csv,60,65,z_error (m),z_error (m),0.02838115554685996
DATA_GEO_Train.csv,60,65,z_error (m),satclockerror (m),-0.08581961232540317
DATA_GEO_Train.csv,60,65,satclockerror (m),x_error (m),0.09199160051661022
