dataset,validation_day,average_W
GEO,2025-09-02,0.8876004390676081
GEO,2025-09-03,0.8588884298247033
GEO,2025-09-04,0.8722289440618929
GEO,2025-09-05,0.9332732119167404
GEO,2025-09-06,0.9027518314317726
GEO,2025-09-07,0.8222123653486181
MEO,2025-09-02,0.906467068635081
MEO,2025-09-03,0.8864905474238127
MEO,2025-09-05,0.8943162617716618
MEO,2025-09-06,0.891596082205791
MEO,2025-09-07,0.8522303652692116
MEO2,2025-09-04,0.8992734799289992
MEO2,2025-09-06,0.7857725079038713
MEO2,2025-09-07,0.8164781050991641
MEO2,2025-09-08,0.841544409346313
MEO2,2025-09-09,0.7664729517508013
