dataset,validation_day,average_W
GEO,2025-09-02,0.9384781982710481
GEO,2025-09-03,0.8195987319367855
GEO,2025-09-04,0.9088767718407934
GEO,2025-09-05,0.9282668249697479
GEO,2025-09-06,0.8921066282935122
GEO,2025-09-07,0.8251382250499671
MEO,2025-09-02,0.8949695813652099
MEO,2025-09-03,0.888875266686493
MEO,2025-09-05,0.8711462455409794
MEO,2025-09-06,0.8779590146237186
MEO,2025-09-07,0.8514341380720543
MEO2,2025-09-04,0.8915048963220196
MEO2,2025-09-06,0.8044187992191074
MEO2,2025-09-07,0.821753618246811
MEO2,2025-09-08,0.8439228689462039
MEO2,2025-09-09,0.7543510644651352
