dataset,validation_day,average_W
GEO,2025-09-02,0.966771261179939
GEO,2025-09-03,0.9573246479090436
GEO,2025-09-04,0.9158490884970075
GEO,2025-09-05,0.9740787439284068
GEO,2025-09-06,0.9070053256717215
GEO,2025-09-07,0.8617571165634632
MEO,2025-09-02,0.9340775764046384
MEO,2025-09-03,0.9020486240824805
MEO,2025-09-05,0.8972988189215477
MEO,2025-09-06,0.8816596219547415
MEO,2025-09-07,0.8579264436063341
MEO2,2025-09-04,0.928591906679992
MEO2,2025-09-06,0.7826361855800984
MEO2,2025-09-07,0.814928832239693
MEO2,2025-09-08,0.8509918554019522
MEO2,2025-09-09,0.7511363580097232
