dataset,validation_day,row_index,x_residual,y_residual,z_residual,clock_residual,horizon_min
GEO,2025-09-02,0,-1.9222225622836304,-1.4072225729776613,1.5562287855563963,1.8673266692644654,120.0
GEO,2025-09-02,1,-50.349746141708984,-53.24764536680859,-37.85429977218555,-42.95012810655664,240.0
GEO,2025-09-02,2,-97.04790055746093,-103.88863829148437,-81.73158126369141,-83.69191238513281,360.0
GEO,2025-09-02,3,-143.77499791192187,-153.98805912996875,-123.1983696774414,-125.46592672638671,480.0
GEO,2025-09-02,4,-195.880976729375,-209.59352560726563,-163.5688191345547,-173.92317491853126,600.0
GEO,2025-09-02,5,-245.3582796451875,-262.3087408918594,-204.82993634429687,-213.25592967219532,720.0
GEO,2025-09-02,6,-293.9753925168437,-314.515348486625,-246.02512523402345,-254.42131582721876,840.0
GEO,2025-09-02,7,-337.99642428754686,-361.4730438958906,-277.91480315195315,-296.42066563565623,960.0
GEO,2025-09-02,8,-392.3724148573281,-419.716443761875,-330.3777530917188,-336.4884875056875,1080.0
GEO,2025-09-02,9,-439.36991265034374,-470.1741364825,-374.4943356073906,-379.03600873851565,1200.0
GEO,2025-09-02,10,-489.836013127375,-524.0204999071875,-413.59924857864064,-424.05336363275,1320.0
GEO,2025-09-02,11,-537.419975623875,-574.9581419374063,-451.44530731729685,-468.7436466608281,1440.0
GEO,2025-09-03,0,0.42679603362274166,0.8108792456629028,1.1352581257495729,0.1514161090786743,120.0
GEO,2025-09-03,1,-96.40136196789844,-77.62454414002343,179.69226925320314,-133.69063251710156,240.0
GEO,2025-09-03,2,-194.4654309673125,-156.12493414439064,358.82021000815627,-263.7176196450781,360.0
GEO,2025-09-03,3,-290.0023019093125,-233.31776957184374,537.9895633242812,-396.85542791175,480.0
GEO,2025-09-03,4,-378.70057679671874,-305.08530084379686,704.2323114501875,-527.3669624918125,589.0
GEO,2025-09-03,5,-397.6659300555625,-321.9291712497344,735.2913474318437,-545.9882892859063,610.0
GEO,2025-09-03,6,-409.9246858360938,-330.42942251635935,757.3284175661563,-560.5458896849688,624.0
GEO,2025-09-03,7,-420.87479566046875,-339.4911096696094,779.9125066596563,-577.7301566909688,639.0
GEO,2025-09-03,8,-433.3128669043125,-349.51369823121877,801.6341732290938,-594.1715674380625,654.0
GEO,2025-09-03,9,-445.9066523206094,-359.56239152315624,823.9876325445938,-612.0512907567812,670.0
GEO,2025-09-03,10,-459.50140419929687,-370.17632541846876,850.8722155123126,-627.65535996825,684.0
GEO,2025-09-03,11,-480.19240186728126,-387.43735371189064,883.0651948111876,-656.6159492860625,710.0
GEO,2025-09-03,12,-481.45557002389063,-387.8426061044375,893.0039141750625,-661.1696166612812,714.0
GEO,2025-09-03,13,-496.19564806620315,-399.7289915193594,915.1447847609063,-677.7202870308438,729.0
GEO,2025-09-03,14,-507.0555805861094,-408.57473485903125,937.0181569580938,-694.4555165230313,744.0
GEO,2025-09-03,15,-519.0416419543437,-418.44054146845315,960.4892781559688,-711.39233825375,759.0
GEO,2025-09-03,16,-530.2200699446563,-427.2447668389531,983.1024252301875,-728.0002004305625,774.0
GEO,2025-09-03,17,-535.6053407305938,-431.2138371880781,1016.4838922373438,-745.9178648222188,789.0
GEO,2025-09-03,18,-556.5461340207188,-448.32283899923436,1027.4019868925625,-761.3193725557187,804.0
GEO,2025-09-03,19,-565.9892194720312,-456.1841682863125,1051.481941449875,-778.3030239156875,819.0
GEO,2025-09-03,20,-579.2708856012188,-466.53174151825,1075.9953519738126,-795.8670012442187,835.0
GEO,2025-09-03,21,-592.007420618375,-477.1785460564531,1095.577618202375,-811.7902643405625,849.0
GEO,2025-09-03,22,-602.0092219707813,-485.21014636009374,1118.309409149,-828.386624539625,864.0
GEO,2025-09-03,23,-616.2883494761875,-496.55092780321877,1141.818228947625,-845.1226474888438,879.0
GEO,2025-09-03,24,-626.7870523106562,-505.16455984876563,1163.86869848075,-861.8129288512188,894.0
GEO,2025-09-03,25,-644.9963259694688,-520.4334075190312,1186.0861760276875,-878.1919372289062,909.0
GEO,2025-09-03,26,-651.525284364875,-525.1511984577812,1209.261894303875,-895.3626575976875,924.0
GEO,2025-09-03,27,-663.2789880449375,-534.6494214390312,1232.3349631081876,-912.3476528036875,939.0
GEO,2025-09-03,28,-681.352949168875,-549.2435542759688,1261.0100950965,-934.2983687425,959.0
GEO,2025-09-03,29,-779.796337604625,-628.550238169625,1441.6706898850625,-1065.0471454218125,1079.0
GEO,2025-09-03,30,-875.044585053125,-705.1296852978437,1619.7165429143124,-1198.8575323249374,1199.0
GEO,2025-09-03,31,-968.77185168875,-780.3451930729062,1803.4801153341875,-1336.029225292875,1319.0
GEO,2025-09-03,32,-1065.8223766723124,-858.0593565033438,1988.7627130009375,-1471.3943147073126,1439.0
GEO,2025-09-04,0,-0.365888684658203,-0.08163916331579602,-1.1882156144060056,-1.580306277193634,120.0
GEO,2025-09-04,1,-3.1758434246958007,-3.0400400047421874,-3.2424027396413573,-0.27470073612657164,240.0
GEO,2025-09-04,2,-2.6900307310230716,-1.615436575940674,-6.300849975443848,2.195909133679718,360.0
GEO,2025-09-04,3,-1.2027580100687256,-1.6777308395681152,-8.35707875504956,0.5693869291185303,480.0
GEO,2025-09-04,4,-1.4082053676303712,-1.854691013614624,-4.641365937934082,-8.917418042021119,600.0
GEO,2025-09-04,5,8.680857975920715,7.131050784372986,-1.702843534578125,-10.717436118813964,720.0
GEO,2025-09-04,6,-2.3148125672595823,-1.744609862350708,1.9701643358720093,-5.125342018525879,840.0
GEO,2025-09-04,7,-5.828525099703552,-4.901712953849121,1.1086369955836792,-5.491148701689453,960.0
GEO,2025-09-04,8,-5.284690689338623,-3.7098316812938235,0.8523469942255861,-5.881501021531738,1080.0
GEO,2025-09-04,9,-1.5334978850791017,-0.16279963813842774,0.14985288496215787,-6.993196248066406,1200.0
GEO,2025-09-04,10,1.7955902372753907,3.2784177362812197,5.32167780793457,-12.030317891366211,1320.0
GEO,2025-09-04,11,-1.0777662772321777,1.1527753477064973,12.384750431589355,-15.95633692731836,1440.0
GEO,2025-09-05,0,2.3490039520287476,1.8883039688984375,1.6858069178470458,-1.3206015287717132,120.0
GEO,2025-09-05,1,4.613290347521392,3.81396448644281,-0.7692102592463379,0.6050043344172058,240.0
GEO,2025-09-05,2,-0.04225159468934632,-1.3079693089586182,-5.357826569984375,2.6597039035229493,360.0
GEO,2025-09-05,3,-5.318579476159179,-5.72901413962323,-5.632435669764648,4.042641695655395,480.0
GEO,2025-09-05,4,-1.1397298240999145,-2.1176696757365723,-6.916769284615967,-0.8026438855755611,600.0
GEO,2025-09-05,5,-1.222445852840454,-2.320819541411499,-7.561345311960205,1.6613837102890625,720.0
GEO,2025-09-05,6,-0.6997150552081909,-1.5322734233784179,-4.584650508998047,6.366662965768066,840.0
GEO,2025-09-05,7,-4.225110918136657,-4.835631869383179,-7.1099815966054685,8.131607094965087,960.0
GEO,2025-09-05,8,-2.924487300340576,-3.528246625771362,-10.538007774368653,10.248160454712647,1080.0
GEO,2025-09-05,9,0.7360914985588378,-0.31081198950183087,-14.405615877322754,10.296971706458496,1200.0
GEO,2025-09-05,10,-0.04795150085241717,-0.8567438310203856,-13.191328393105469,4.385358581872071,1320.0
GEO,2025-09-05,11,-4.433889843578003,-4.879347160051269,-10.484531467327637,12.438800455024413,1440.0
GEO,2025-09-06,0,2.044695429769531,2.3743028565074464,6.056120187069093,0.10113656805706783,120.0
GEO,2025-09-06,1,1.5045063531496583,2.0160338733250733,2.1231420030673824,-1.2524854223047792,240.0
GEO,2025-09-06,2,7.823388270857544,7.062351234480713,-3.6827752282791746,-0.4568899097592163,360.0
GEO,2025-09-06,3,3.638800565626343,2.727372008922363,-1.5970779140422058,-1.1848495785550537,480.0
GEO,2025-09-06,4,2.228225081906372,0.9869798715220948,0.8174251593029175,-5.57244707872522,600.0
GEO,2025-09-06,5,1.946651722939209,0.2481797152560425,2.455577640331909,-6.459797980111695,720.0
GEO,2025-09-06,6,-3.5597125852662357,-15.40934761540657,-0.8238251440600584,-8.252859594273438,840.0
GEO,2025-09-06,7,4.750726316254822,13.931972094746094,18.312352098959963,3.3063648370104977,960.0
GEO,2025-09-06,8,3.157497603930649,0.6236950046330567,7.125509252699219,-2.307865640636963,1080.0
GEO,2025-09-06,9,0.8992095814744567,-1.7996040622802734,4.549365943071777,-1.7190110175312499,1200.0
GEO,2025-09-06,10,0.5408920682962035,-2.6456180026484377,4.969217340343262,-5.820853759772461,1320.0
GEO,2025-09-07,0,-5.474506437441162,-3.062641929358185,2.179097945859177,1.8197659563334656,360.0
GEO,2025-09-07,1,-1.165225599154541,0.4826108587353516,-1.3431141032596436,1.0738101637392274,480.0
GEO,2025-09-07,2,5.797343160457885,4.7074069265895995,-9.840924812399901,-0.9633032330089417,600.0
GEO,2025-09-07,3,-3.4162065350202635,-1.956051729215454,-2.9110429211313478,-4.580603136020752,720.0
GEO,2025-09-07,4,-4.7272931227143555,-3.1733845812196044,-3.741195396937378,-6.04019714902649,840.0
GEO,2025-09-07,5,-7.305615692967529,-15.25014300385376,9.205502129981689,-5.720669442553344,960.0
GEO,2025-09-07,6,7.361933453925781,15.64425974992798,-2.124066492060547,0.6360599355648193,964.0
GEO,2025-09-07,7,-5.842742759818847,-7.22204789552124,-3.538199237359375,-3.183255709084961,984.0
GEO,2025-09-07,8,-4.469561744823486,-2.4630542510300293,-3.7992813594467774,-2.8212549909500733,1000.0
GEO,2025-09-07,9,-5.102918650941406,-3.0374734289360354,-5.028133900544433,-2.998997849564453,1015.0
GEO,2025-09-07,10,-25.123029675372315,-31.82462497447632,-25.109761548645018,-8.517844395501708,1030.0
GEO,2025-09-07,11,3.4606591947163086,18.502527754655762,9.958263309197998,6.232092365338989,1045.0
GEO,2025-09-07,12,-12.921057924368652,-20.473632048255617,-7.763606082630127,-8.675565858164674,1060.0
GEO,2025-09-07,13,-7.583030253617432,-6.941413384013671,-6.498146326101562,-3.5674026101280516,1075.0
GEO,2025-09-07,14,-5.233605299178955,-4.734622936933838,-4.029667378542724,-3.6059061150291747,1090.0
GEO,2025-09-07,15,-8.642087232121094,-8.287151918303467,-8.853925668202393,-3.808482359556885,1105.0
GEO,2025-09-07,16,-7.486505020509766,-7.2070873933906245,-7.623626827716064,-4.0112930466844485,1120.0
GEO,2025-09-07,17,-4.70937138829541,-4.27594470960376,-3.5846130754851075,-3.6875282694643556,1135.0
GEO,2025-09-07,18,1.2141961938972177,-2.76891424542334,-9.932088180723632,-7.829229179111328,1150.0
GEO,2025-09-07,19,-7.564278825964111,-6.492855359184326,-5.880886105197265,-4.1551716764919435,1165.0
GEO,2025-09-07,20,-11.419427238841063,-6.297579829002197,-11.182949643840331,-0.7900393390886231,1180.0
GEO,2025-09-07,21,-9.209679123283447,-8.499242689458253,-6.908001555812255,-4.2179396126105955,1196.0
GEO,2025-09-07,22,-9.471388042122314,-8.937338568563721,-5.610337212616943,-4.475341986326904,1211.0
GEO,2025-09-07,23,-6.138571120333252,-6.345993865010498,-7.97439421536499,-4.671411358130371,1225.0
GEO,2025-09-07,24,-9.681581370684325,-8.50056955556836,-7.268585748669922,-4.207394827433838,1240.0
GEO,2025-09-07,25,-2.9016621859995118,-3.457874409632568,-3.391996762401367,-4.984866675079101,1256.0
GEO,2025-09-07,26,-8.05909411603662,-6.951397489423584,-0.9041387252155761,-4.3961665521347655,1270.0
GEO,2025-09-07,27,-6.708296265735839,-6.258768618067139,-4.479159533222412,-5.110900316088623,1285.0
GEO,2025-09-07,28,-0.6016368642055667,-5.697694271696533,-3.866645143440918,-9.03645388832666,1300.0
GEO,2025-09-07,29,-2.069252230631836,32.3395773397937,32.04922558661133,18.181763814660645,1320.0
GEO,2025-09-07,30,-15.434893474046875,-49.09069766793945,-38.76042232094238,-28.602971463336182,1324.0
GEO,2025-09-07,31,-15.590870633617676,-8.629380692040039,-16.226003554056398,-0.8227423660429691,1345.0
GEO,2025-09-07,32,-6.685577787800293,-7.283528424793457,-7.169817742730957,-5.231503547481689,1361.0
GEO,2025-09-07,33,-5.785325832674804,-11.685912650126953,-6.389081672557861,-9.985930119545653,1376.0
GEO,2025-09-07,34,-9.346199959629395,-3.5512924086191404,-0.5662460040905763,-1.1639459065576174,1390.0
GEO,2025-09-07,35,-9.960340674510254,-9.23297420522705,-6.238876531379883,-5.421206587673096,1406.0
GEO,2025-09-07,36,-9.12540365049463,-9.338137514632324,-12.2046764836604,-5.964952889728759,1421.0
GEO,2025-09-07,37,-9.563589651570801,-9.134341978029784,-6.9242466101249995,-5.63818372385498,1436.0
GEO,2025-09-07,38,-6.768848777220703,-6.173190623600098,-5.626510474523437,-5.842862756958985,1451.0
GEO,2025-09-07,39,-5.677482962394043,-5.02531953180957,-5.273428530616211,-5.967775688622314,1466.0
GEO,2025-09-07,40,-6.500893265194824,-5.231755282275879,-12.579047493466797,-5.814480926553955,1481.0
