dataset,validation_day,average_W
GEO,2025-09-02,0.9602760171558052
GEO,2025-09-03,0.9570499026628768
GEO,2025-09-04,0.9420864959945621
GEO,2025-09-05,0.9264739665230334
GEO,2025-09-06,0.9437282738123951
GEO,2025-09-07,0.8683458120766708
MEO,2025-09-02,0.9703805521889859
MEO,2025-09-03,0.8907981059239657
MEO,2025-09-05,0.8892149573559227
MEO,2025-09-06,0.8781049874351563
MEO,2025-09-07,0.8827830172471487
MEO2,2025-09-04,0.9248999644389022
MEO2,2025-09-06,0.8908897660645665
MEO2,2025-09-07,0.8548215547669301
MEO2,2025-09-08,0.7915579905390663
MEO2,2025-09-09,0.9047233430615825
