dataset,validation_day,average_W
GEO,2025-09-02,0.966771261179939
GEO,2025-09-03,0.9573246479090436
GEO,2025-09-04,0.9158026784282758
GEO,2025-09-05,0.9594081134182854
GEO,2025-09-06,0.9154438324830878
GEO,2025-09-07,0.8713777658522277
MEO,2025-09-02,0.9340775764046384
MEO,2025-09-03,0.9020486240824805
MEO,2025-09-05,0.8966666430178277
MEO,2025-09-06,0.8816181064733278
MEO,2025-09-07,0.8544741915979625
MEO2,2025-09-04,0.928591906679992
MEO2,2025-09-06,0.7834937125123986
MEO2,2025-09-07,0.8159063497994182
MEO2,2025-09-08,0.847989578905793
MEO2,2025-09-09,0.8320995750636521
