dataset,validation_day,row_index,x_residual,y_residual,z_residual,clock_residual,horizon_min
GEO,2025-09-02,0,-2.369667954892273,-1.9039870540453188,0.9999275494037474,2.2041119857317506,120.0
GEO,2025-09-02,1,-43.81890049961914,-53.05061625303906,-11.95779060165332,-18.489507226429687,240.0
GEO,2025-09-02,2,-84.71346604818359,-102.79331663621093,-29.59426742091797,-35.22094986071875,360.0
GEO,2025-09-02,3,-126.00026341485156,-152.3379279043828,-44.01430290498047,-53.18183477692383,480.0
GEO,2025-09-02,4,-172.70341020105468,-207.33417196957032,-57.10104188235742,-77.94316393220312,600.0
GEO,2025-09-02,5,-217.11358970378126,-259.9401495832656,-70.23144849029296,-93.93109294123828,720.0
GEO,2025-09-02,6,-260.6268207395,-311.53127866240624,-83.74470683802734,-111.91666189655469,840.0
GEO,2025-09-02,7,-299.87130221723436,-357.9734101068281,-87.60327208505859,-131.0113943954219,960.0
GEO,2025-09-02,8,-349.26880767959375,-415.56406949429686,-111.78835184660156,-147.6503832576406,1080.0
GEO,2025-09-02,9,-390.74164726948436,-465.0569489825,-128.1639828241875,-166.30674543285156,1200.0
GEO,2025-09-02,10,-435.3534691820625,-518.110221586875,-139.7322289253203,-186.86368162591407,1320.0
GEO,2025-09-02,11,-477.09371219614064,-568.3617063905313,-150.2373757987422,-207.20556072332812,1440.0
GEO,2025-09-03,0,1.739368632080078,1.7402213963510742,0.2612679476413575,-0.32278592777893067,120.0
GEO,2025-09-03,1,-65.84359219250781,-64.27912330262109,78.16646664089843,-23.683678323986328,240.0
GEO,2025-09-03,2,-134.18598150442187,-130.6264600232969,154.3402905745625,-44.050886856992186,360.0
GEO,2025-09-03,3,-200.84753201185157,-196.86635355621874,229.26368746978906,-67.65186803626172,480.0
GEO,2025-09-03,4,-262.7422638084375,-257.68329278715623,300.4541742431563,-97.43332296544531,589.0
GEO,2025-09-03,5,-276.56491687196876,-272.4273401950469,313.17672340840625,-96.65926401735156,610.0
GEO,2025-09-03,6,-285.3999055626563,-279.5314427800312,322.9882381227969,-98.28908426504688,624.0
GEO,2025-09-03,7,-292.6833588928906,-287.0985620621875,332.4745794135625,-101.62433698882032,639.0
GEO,2025-09-03,8,-301.459229209,-295.63027537965627,341.09681971346873,-104.21810674470312,654.0
GEO,2025-09-03,9,-310.1492060315469,-304.09049821260936,349.47890451725,-107.32905412348047,670.0
GEO,2025-09-03,10,-320.32962075203125,-313.31585178565626,364.14037347129687,-110.01114915282031,684.0
GEO,2025-09-03,11,-334.6863593868125,-328.00391254978126,373.6310212272031,-114.97691882951953,710.0
GEO,2025-09-03,12,-334.9766271527969,-328.014847315375,380.07703429225,-115.83944698354688,714.0
GEO,2025-09-03,13,-346.38363634745315,-338.795306216625,387.8864534620781,-118.60404557576562,729.0
GEO,2025-09-03,14,-353.5963520704844,-346.1629306598125,396.66155905770313,-121.49874467244531,744.0
GEO,2025-09-03,15,-361.9356544055156,-354.5508014782188,407.0369160954219,-124.59604308773437,759.0
GEO,2025-09-03,16,-369.471229612625,-361.88078368465625,416.552498472375,-127.36561028163672,774.0
GEO,2025-09-03,17,-371.2180421466094,-364.37976126034374,436.8330438486719,-131.44629194624218,789.0
GEO,2025-09-03,18,-388.5230322140781,-380.021233774625,434.64878254685937,-133.01260986040626,804.0
GEO,2025-09-03,19,-394.33599071226564,-386.42040485857814,445.6218950631563,-136.16274986783594,819.0
GEO,2025-09-03,20,-403.7508050348125,-395.2135347311406,456.14961833123436,-138.97372121492188,835.0
GEO,2025-09-03,21,-413.1124926398594,-404.5086241814531,463.48505838792187,-141.9905359470078,849.0
GEO,2025-09-03,22,-419.5056208965625,-411.09894030540624,473.0871496275156,-144.76168557478124,864.0
GEO,2025-09-03,23,-430.1875193980625,-421.0098511430625,483.45412372301564,-147.677396024,879.0
GEO,2025-09-03,24,-437.1039163243281,-428.2080779151719,492.34443700614065,-150.55365150746874,894.0
GEO,2025-09-03,25,-451.7512087819687,-442.081783983875,501.37713061753124,-153.12623288320313,909.0
GEO,2025-09-03,26,-454.7441564351875,-445.42970187575,511.33641822965626,-156.50158887210156,924.0
GEO,2025-09-03,27,-463.00600830860935,-453.601508841375,521.1403830300625,-159.7084926474375,939.0
GEO,2025-09-03,28,-476.5377941395781,-466.5371028599531,531.995446659,-163.33811788800782,959.0
GEO,2025-09-03,29,-547.831493854625,-535.06513074775,607.2387440842813,-184.05889468939063,1079.0
GEO,2025-09-03,30,-611.6612232367188,-597.2831887158125,682.84093256275,-204.37015134349218,1199.0
GEO,2025-09-03,31,-674.6200572551562,-659.25333516275,764.20533506075,-229.60744184560937,1319.0
GEO,2025-09-03,32,-742.0936169066875,-724.8251646088125,845.3982720829688,-254.20347303250782,1439.0
GEO,2025-09-04,0,-0.33008250561157215,-0.09439741832067883,-1.5664132843889158,-1.7573948954721375,120.0
GEO,2025-09-04,1,-3.3149494599283447,-3.1310322170377196,-1.7962438536855467,0.963997120538086,240.0
GEO,2025-09-04,2,-3.0424665582783206,-1.6861386518989259,-0.9423794163236694,7.421833804375977,360.0
GEO,2025-09-04,3,-1.823678906598877,-2.348511975127197,-1.8639660419510347,7.479440897548096,480.0
GEO,2025-09-04,4,-2.713077880447754,-3.6097771971625976,1.3061032965324708,0.19247980992285196,600.0
GEO,2025-09-04,5,6.869405944785155,4.505167324328125,3.081699979673584,0.5883743326936033,720.0
GEO,2025-09-04,6,-4.697301652457031,-5.633456021332031,4.042962707187012,7.89321028478833,840.0
GEO,2025-09-04,7,-8.623676452585936,-9.852888643546386,0.6230846548377533,7.754873522736816,960.0
GEO,2025-09-04,8,-7.420190643562256,-8.583974089664796,0.06005582982739277,6.020732102247559,1080.0
GEO,2025-09-04,9,-1.1840365680167237,-3.2823832448583983,0.21066821928222623,1.762245894420166,1200.0
GEO,2025-09-04,10,3.3971021329319764,0.6036672294033205,5.780942086346435,-2.580557215935913,1320.0
GEO,2025-09-04,11,0.5572834235048219,-2.1797716314824216,12.511804646066894,-4.649602126979614,1440.0
GEO,2025-09-05,0,-0.16089357805014037,-0.48105921984515376,-1.7779250863186036,0.3522260428587647,120.0
GEO,2025-09-05,1,1.933242895071594,0.8530709746706542,-2.6909522216791992,1.889609897104126,240.0
GEO,2025-09-05,2,-2.115496971037842,-3.662667490110962,-4.508097032020507,1.816934519138794,360.0
GEO,2025-09-05,3,-7.838177483361328,-9.269771914929931,-4.359512677058349,1.98635148636203,480.0
GEO,2025-09-05,4,-4.183954205546753,-6.766820524125244,-4.473816651711914,-4.356055577956466,600.0
GEO,2025-09-05,5,-4.9369508100395505,-7.89180843492041,-5.162998887857422,-2.956495442008911,720.0
GEO,2025-09-05,6,-5.502761877756104,-8.586979996864747,-2.7238011285048827,0.5533094272548829,840.0
GEO,2025-09-05,7,-9.615088492485107,-13.07624509150537,-5.728814184801269,0.8058345710850832,960.0
GEO,2025-09-05,8,-8.312988944475098,-12.697720512261231,-8.675267257706055,1.4918414086921388,1080.0
GEO,2025-09-05,9,-4.56071245270459,-10.522515528396484,-12.516134809665283,0.8656660595621339,1200.0
GEO,2025-09-05,10,-4.890176814039062,-11.985805768352538,-12.628378258828125,-6.474067439703857,1320.0
GEO,2025-09-05,11,-8.590385176295898,-16.360966041276857,-9.698977535137695,-0.17689049155456527,1440.0
GEO,2025-09-06,0,-0.732252068552002,-0.11352252226815034,5.3028474152337655,1.083436462151535,120.0
GEO,2025-09-06,1,-3.330621715774292,-2.9750290062373046,3.310743807800659,-0.5727393309389649,240.0
