dataset,validation_day,average_W
GEO,2025-09-02,0.8865484135027886
GEO,2025-09-03,0.8584731277950847
GEO,2025-09-04,0.9021804442351863
GEO,2025-09-05,0.9323681146018226
GEO,2025-09-06,0.9025965882792842
GEO,2025-09-07,0.8336286142505034
MEO,2025-09-02,0.9065069212361195
MEO,2025-09-03,0.8803089946030055
MEO,2025-09-05,0.8961822413064996
MEO,2025-09-06,0.8912823054757626
MEO,2025-09-07,0.8585015940859382
MEO2,2025-09-04,0.9065313158044431
MEO2,2025-09-06,0.78490771449661
MEO2,2025-09-07,0.7839588267553907
MEO2,2025-09-08,0.8436748878182441
MEO2,2025-09-09,0.7429321510514829
