dataset,validation_day,average_W
GEO,2025-09-02,0.9651408519891566
GEO,2025-09-03,0.95556481168999
GEO,2025-09-04,0.8969038236501278
GEO,2025-09-05,0.9262055592367602
GEO,2025-09-06,0.9200603323970074
GEO,2025-09-07,0.9014262645438701
MEO,2025-09-02,0.933051041773737
MEO,2025-09-03,0.890045169055343
MEO,2025-09-05,0.9144128710655012
MEO,2025-09-06,0.8761711597859859
MEO,2025-09-07,0.9191621758513722
MEO2,2025-09-04,0.9272964794357195
MEO2,2025-09-06,0.8255648329689804
MEO2,2025-09-07,0.8310756683622851
MEO2,2025-09-08,0.8176028803866611
MEO2,2025-09-09,0.8930090984509507
